sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.959 0 -0.738 -0.643 -0.738 0 -0.738 0.237 1.35 0.42 0 0 
1.026 0 -0.738 -0.643 -0.738 0 -0.738 0.237 1.35 0.42 0 0 
1.098 0 -0.736 -0.639 -0.738 0.000821 -0.738 0.237 1.35 0.42 0.114 0.321 
1.193 0 -0.736 -0.639 -0.738 0.00733 -0.738 0.237 1.35 0.42 0.4 0.313 
1.29 0 -0.736 -0.639 -0.738 0.0139 -0.738 0.237 1.35 0.42 0.401 0.307 
1.382 0 -0.736 -0.639 -0.738 0.0202 -0.738 0.237 1.35 0.42 0.401 0.301 
1.474 0 -0.736 -0.639 -0.738 0.0269 -0.738 0.237 1.35 0.42 0.402 0.294 
1.573 0 -0.736 -0.639 -0.738 0.0337 -0.738 0.237 1.35 0.42 0.402 0.288 
1.665 0 -0.736 -0.639 -0.738 0.0402 -0.738 0.237 1.35 0.42 0.403 0.282 
1.759 0 -0.736 -0.639 -0.738 0.0467 -0.777 0.237 1.35 0.42 0.403 0.275 
1.85 0 -0.736 -0.639 -0.738 0.0532 -0.777 0.237 1.35 0.42 0.404 0.269 
1.942 0 -0.736 -0.639 -0.738 0.0599 -0.738 0.237 1.35 0.42 0.404 0.263 
2.035 0 -0.736 -0.639 -0.738 0.0666 -0.738 0.237 1.35 0.42 0.405 0.256 
2.124 0 -0.736 -0.639 -0.738 0.0731 -0.738 0.237 1.35 0.42 0.405 0.25 
2.216 0 -0.736 -0.639 -0.738 0.0798 -0.738 0.237 1.35 0.42 0.406 0.244 
2.311 0 -0.736 -0.639 -0.738 0.0864 -0.738 0.237 1.35 0.42 0.406 0.238 
2.399 0 -0.736 -0.639 -0.738 0.093 -0.738 0.237 1.35 0.42 0.407 0.231 
2.49 0 -0.736 -0.639 -0.738 0.0994 -0.738 0.237 1.35 0.42 0.407 0.225 
2.582 0 -0.736 -0.639 -0.738 0.106 -0.738 0.237 1.35 0.42 0.407 0.219 
2.672 0 -0.736 -0.639 -0.738 0.112 -0.738 0.237 1.35 0.42 0.408 0.213 
2.763 0 -0.736 -0.639 -0.738 0.119 -0.738 0.237 1.35 0.42 0.408 0.206 
2.855 0 -0.736 -0.639 -0.738 0.126 -0.738 0.237 1.35 0.42 0.409 0.2 
2.947 0 -0.736 -0.639 -0.738 0.132 -0.738 0.237 1.35 0.42 0.409 0.194 
3.039 0 -0.736 -0.639 -0.738 0.139 -0.738 0.237 1.35 0.42 0.41 0.188 
