sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.025 0 0 0 0 0 1e-006 0.795 0.148 2.93 0.37 -0.0205 
1.094 0 0 0 0 0 1e-006 0.786 0.15 2.94 0 0 
1.159 0 0.788 0.151 0.384 2.99 1.47 0.788 0.152 2.99 0.264 -0.335 
1.226 0 0.784 0.152 0.305 2.96 1.24 0.784 0.152 2.96 0.3 -0.347 
1.294 0 0.778 0.153 0.223 2.92 0.68 0.778 0.153 2.92 0.3 -0.335 
1.359 0 0.773 0.156 0.16 2.91 0.374 0.773 0.156 2.91 0.3 -0.34 
1.425 0 0.767 0.157 0.131 2.87 -0.0518 0.767 0.157 2.87 0.3 -0.316 
1.493 0 0.762 0.159 0.0904 2.84 -0.154 0.762 0.159 2.84 0.3 -0.275 
1.562 0 0.756 0.161 0.0729 2.84 -0.284 0.756 0.161 2.84 0.3 -0.28 
1.625 0 0.75 0.164 0.0782 2.84 -0.247 0.75 0.164 2.84 0.3 -0.304 
1.698 0 0.744 0.165 0.0733 2.82 -0.295 0.744 0.165 2.82 0.3 -0.282 
1.765 0 0.739 0.167 0.072 2.83 -0.174 0.739 0.167 2.83 0.3 -0.299 
1.832 0 0.735 0.17 0.0756 2.84 0.0111 0.735 0.17 2.84 0.3 -0.297 
1.9 0 0.734 0.169 0.0426 2.84 0.199 0.734 0.169 2.84 0.3 -0.277 
1.966 0 0.731 0.171 0.0374 2.81 -0.066 0.731 0.171 2.81 0.3 -0.268 
2.032 0 0.729 0.172 0.0337 2.84 0.168 0.729 0.172 2.84 0.3 -0.303 
2.102 0 0.726 0.172 0.0355 2.76 -0.338 0.726 0.172 2.76 0.3 -0.293 
2.165 0 0.722 0.173 0.0508 2.77 -0.211 0.722 0.173 2.77 0.301 -0.274 
2.232 0 0.721 0.176 0.0453 2.8 0.108 0.721 0.176 2.8 0.301 -0.283 
2.306 0 0.72 0.175 0.0187 2.76 -0.0665 0.72 0.175 2.76 0.301 -0.255 
2.372 0 0.717 0.177 0.032 2.78 -0.0431 0.717 0.177 2.78 0.301 -0.262 
2.435 0 0.714 0.178 0.0388 2.76 -0.16 0.714 0.178 2.76 0.301 -0.254 
2.501 0 0.71 0.18 0.0486 2.75 -0.159 0.71 0.18 2.75 0.301 -0.251 
2.568 0 0.707 0.18 0.0529 2.73 -0.302 0.707 0.18 2.73 0.301 -0.231 
2.636 0 0.706 0.182 0.0384 2.76 -0.0749 0.706 0.182 2.76 0.301 -0.26 
2.701 0 0.704 0.183 0.0257 2.76 0.0306 0.704 0.183 2.76 0.301 -0.26 
2.767 0 0.701 0.183 0.0326 2.72 -0.189 0.701 0.183 2.72 0.301 -0.237 
2.834 0 0.702 0.183 0.00536 2.75 0.105 0.702 0.183 2.75 0.301 -0.247 
2.9 0 0.702 0.184 0.00495 2.73 0.00552 0.702 0.184 2.73 0.301 -0.268 
2.968 0 0.702 0.184 -0.000427 2.73 -0.17 0.702 0.184 2.73 0.301 -0.241 
3.034 0 0.702 0.185 0.00548 2.77 0.189 0.702 0.185 2.77 -1 0 
3.099 0 0.702 0.185 -0.000389 2.77 -0.0126 0.702 0.185 2.77 -1 0 
3.168 0 0.702 0.185 -0.00702 2.77 -0.262 0.702 0.185 2.77 -1 0 
3.232 0 0.702 0.185 -0.00286 2.77 -0.105 0.702 0.185 2.77 -0.0321 0 
3.304 0 0.702 0.184 -0.00661 2.73 -0.307 0.702 0.184 2.73 -0.0153 0 
3.368 0 0.702 0.185 -0.000651 2.77 -0.0364 0.702 0.185 2.77 -0.015 0 
3.435 0 0.702 0.184 -0.00931 2.73 -0.369 0.702 0.184 2.73 -0.015 0 
3.5 0 0.702 0.185 -5.6e-005 2.77 0.0569 0.702 0.185 2.77 -0.015 0 
3.566 0 0.702 0.184 -0.00515 2.73 -0.251 0.702 0.184 2.73 -0.015 0 
3.632 0 0.702 0.184 -0.00177 2.73 -0.141 0.702 0.184 2.73 -0.015 0 
3.7 0 0.701 0.185 0.0119 2.78 0.328 0.701 0.185 2.78 -0.015 0 
3.766 0 0.702 0.185 0.00152 2.77 0.122 0.702 0.185 2.77 -0.015 0 
3.834 0 0.702 0.185 0.00527 2.77 0.197 0.702 0.185 2.77 -0.015 0 
3.901 0 0.701 0.184 -0.00209 2.74 -0.28 0.701 0.184 2.74 -0.015 0 
3.968 0 0.702 0.184 -0.00427 2.73 -0.374 0.702 0.184 2.73 -0.015 0 
4.034 0 0.702 0.185 0.00179 2.77 -0.0956 0.702 0.185 2.77 -0.015 0 
4.1 0 0.701 0.183 0.00559 2.73 -0.248 0.701 0.183 2.73 -0.1 0 
4.166 0 0.705 0.183 -0.0285 2.75 -0.0279 0.705 0.183 2.75 -0.1 0 
4.233 0 0.708 0.18 -0.0417 2.75 -0.0377 0.708 0.18 2.75 -0.1 0 
4.302 0 0.712 0.18 -0.0604 2.76 0.273 0.712 0.18 2.76 -0.1 0 
4.368 0 0.718 0.178 -0.0689 2.75 0.188 0.717 0.178 2.75 -0.1 0 
4.434 0 0.721 0.176 -0.0651 2.72 0.00169 0.721 0.176 2.72 -0.1 0 
4.5 0 0.726 0.173 -0.0798 2.74 0.176 0.726 0.173 2.74 -0.1 0 
4.566 0 0.729 0.172 -0.0573 2.72 -0.0709 0.729 0.172 2.72 -0.1 0 
4.633 0 0.735 0.17 -0.0667 2.72 -0.124 0.735 0.17 2.72 -0.1 0 
4.7 0 0.741 0.167 -0.076 2.73 -0.131 0.741 0.167 2.73 -0.1 0 
4.768 0 0.748 0.164 -0.0947 2.75 -0.0462 0.748 0.164 2.75 -0.1 0 
4.836 0 0.754 0.161 -0.0916 2.75 0.0536 0.754 0.161 2.75 -0.1 0 
4.902 0 0.761 0.161 -0.0721 2.76 -0.0834 0.761 0.161 2.76 -0.1 0 
4.967 0 0.77 0.156 -0.104 2.75 0.0614 0.77 0.156 2.75 -0.1 0 
5.035 0 0.775 0.153 -0.107 2.72 -0.0708 0.775 0.153 2.72 -0.1 0 
5.101 0 0.784 0.151 -0.114 2.76 0.191 0.784 0.151 2.76 -0.1 0 
5.167 0 0.79 0.148 -0.0982 2.72 -0.308 0.79 0.148 2.72 -0.1 0 
5.236 0 0.798 0.145 -0.0935 2.74 -0.215 0.798 0.145 2.74 -0.1 0 
5.302 0 0.809 0.141 -0.135 2.74 -0.134 0.809 0.141 2.74 -0.1 0 
5.369 0 0.818 0.139 -0.132 2.8 0.152 0.818 0.139 2.8 -0.1 0 
5.438 0 0.824 0.134 -0.126 2.76 -0.0632 0.824 0.134 2.76 0.3 -0.135 
5.502 0 0.82 0.137 -0.036 2.75 -0.0431 0.82 0.137 2.75 0.3 -0.15 
5.567 0 0.821 0.137 -0.0213 2.76 0.0189 0.821 0.137 2.76 0.3 -0.149 
5.635 0 0.821 0.137 -0.0104 2.76 0.0107 0.821 0.137 2.76 0.3 -0.149 
5.7 0 0.821 0.137 -0.00542 2.76 0.00653 0.821 0.137 2.76 0.3 -0.149 
5.768 0 0.818 0.137 0.0115 2.72 -0.157 0.818 0.137 2.72 0.3 -0.126 
5.836 0 0.818 0.137 0.00569 2.72 -0.0909 0.818 0.137 2.72 -1 0 
5.902 0 0.818 0.137 0.0029 2.72 -0.054 0.818 0.137 2.72 -1 0 
5.969 0 0.818 0.137 0.00148 2.72 -0.032 0.818 0.137 2.72 -0.0406 0 
6.034 0 0.818 0.137 0.000773 2.72 -0.0194 0.818 0.137 2.72 -0.0154 0 
6.1 0 0.818 0.137 0.000392 2.72 -0.0114 0.818 0.137 2.72 -0.015 0 
6.168 0 0.818 0.137 0.000195 2.72 -0.00665 0.818 0.137 2.72 -0.015 0 
6.248 0 0.818 0.137 7.27e-005 2.72 -0.00303 0.818 0.137 2.72 -0.015 0 
6.315 0 0.818 0.137 3.88e-005 2.72 -0.00187 0.818 0.137 2.72 -0.015 0 
6.383 0 0.818 0.137 1.92e-005 2.72 -0.00109 0.818 0.137 2.72 -0.015 0 
6.45 0 0.818 0.137 9.83e-006 2.72 -0.000652 0.818 0.137 2.72 -0.015 0 
6.519 0 0.818 0.137 4.73e-006 2.72 -0.000371 0.818 0.137 2.72 -0.015 0 
6.581 0 0.818 0.137 2.67e-006 2.72 -0.000238 0.818 0.137 2.72 -0.015 0 
6.661 0 0.818 0.137 9.83e-007 2.72 -0.000108 0.818 0.137 2.72 -0.015 0 
6.73 0 0.818 0.137 5.19e-007 2.72 -6.59e-005 0.818 0.137 2.72 -0.015 0 
6.797 0 0.818 0.137 2.65e-007 2.72 -3.94e-005 0.818 0.137 2.72 -0.015 0 
6.863 0 0.821 0.137 -0.0339 2.76 0.355 0.821 0.137 2.76 -0.1 0 
6.929 0 0.82 0.137 -0.0207 2.75 0.219 0.82 0.137 2.75 -0.1 0 
6.995 0 0.825 0.136 -0.0329 2.78 0.179 0.825 0.136 2.78 -0.1 0 
7.062 0 0.83 0.134 -0.0528 2.78 0.0438 0.83 0.134 2.78 -0.1 0 
7.13 0 0.832 0.133 -0.036 2.77 0.0858 0.832 0.133 2.77 -0.1 0 
7.195 0 0.839 0.131 -0.0605 2.8 0.22 0.839 0.131 2.8 -0.1 0 
7.265 0 0.845 0.129 -0.0798 2.78 0.113 0.845 0.129 2.78 -0.1 0 
7.331 0 0.85 0.126 -0.0665 2.76 -0.17 0.85 0.126 2.76 -0.1 0 
7.397 0 0.861 0.123 -0.114 2.78 -0.0487 0.861 0.123 2.78 -0.1 0 
7.463 0 0.865 0.121 -0.0992 2.76 -0.115 0.865 0.12 2.76 -0.1 0 
7.529 0 0.876 0.117 -0.124 2.8 0.191 0.876 0.117 2.8 -0.1 0 
7.595 0 0.881 0.114 -0.109 2.78 0.0441 0.881 0.114 2.78 -0.1 0 
7.662 0 0.89 0.112 -0.106 2.78 -0.107 0.89 0.112 2.78 -0.1 0 
7.729 0 0.899 0.109 -0.12 2.78 -0.16 0.899 0.109 2.78 -0.1 0 
7.797 0 0.908 0.107 -0.133 2.78 -0.0988 0.908 0.107 2.78 -0.1 0 
7.863 0 0.921 0.103 -0.159 2.84 0.47 0.921 0.103 2.84 -0.1 0 
7.932 0 0.929 0.0986 -0.141 2.78 -0.121 0.929 0.0986 2.78 -0.1 0 
7.996 0 0.943 0.0947 -0.168 2.76 -0.343 0.943 0.0947 2.76 -0.1 0 
8.063 0 0.955 0.0908 -0.196 2.8 -0.0984 0.955 0.0908 2.8 -0.1 0 
8.129 0 0.968 0.0854 -0.21 2.8 -0.069 0.968 0.0854 2.8 -0.1 0 
8.196 0 0.979 0.0829 -0.189 2.81 0.122 0.979 0.0829 2.81 0.3 -0.0808 
8.264 0 0.978 0.0821 -0.0898 2.8 -0.0317 0.978 0.0821 2.8 0.3 -0.113 
8.329 0 0.978 0.0828 -0.0466 2.78 -0.0436 0.978 0.0828 2.78 0.3 -0.0755 
8.396 0 0.978 0.0828 -0.0238 2.78 -0.0259 0.978 0.0828 2.78 0.3 -0.0755 
8.463 0 0.978 0.0828 -0.012 2.78 -0.0153 0.978 0.0828 2.78 0.3 -0.0755 
8.529 0 0.978 0.0828 -0.00617 2.78 -0.00909 0.978 0.0828 2.78 0.3 -0.0755 
8.596 0 0.978 0.0828 -0.00313 2.78 -0.00537 0.978 0.0828 2.78 0.3 -0.0755 
8.662 0 0.978 0.0821 -0.00447 2.8 0.154 0.978 0.0821 2.8 -1 0 
8.732 0 0.978 0.0828 0.000883 2.78 -0.11 0.978 0.0828 2.78 -1 0 
8.798 0 0.978 0.0828 0.000465 2.78 -0.0664 0.978 0.0828 2.78 -0.0726 0 
8.863 0 0.978 0.0828 0.000244 2.78 -0.0404 0.978 0.0828 2.78 -0.016 0 
8.929 0 0.978 0.0821 -0.00182 2.8 0.0765 0.978 0.0821 2.8 -0.015 0 
