sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.013 0 0 0 0 0 1e-006 1.89 0.0795 -2.48 0.357 -0.18 
1.079 0 0 0 0 0 1e-006 1.89 0.0771 -2.47 0 0 
1.154 0 1.89 0.0771 0.923 -2.47 -1.22 1.89 0.0771 -2.47 0.114 -0.76 
1.225 0 1.89 0.0771 0.686 -2.48 -0.992 1.89 0.0771 -2.48 0.4 -0.744 
1.298 0 1.89 0.0756 0.381 -2.53 -0.816 1.89 0.0756 -2.53 0.401 -0.733 
1.377 0 1.89 0.0756 0.175 -2.53 -0.555 1.89 0.0756 -2.53 0.401 -0.718 
1.449 0 1.89 0.0756 0.0917 -2.53 -0.407 1.89 0.0756 -2.53 0.402 -0.707 
1.527 0 1.89 0.077 0.0431 -2.49 -0.275 1.89 0.077 -2.49 0.402 -0.707 
1.598 0 1.89 0.0756 0.0195 -2.51 -0.211 1.89 0.0756 -2.51 0.402 -0.707 
1.672 0 1.89 0.0756 0.0106 -2.53 -0.00994 1.89 0.0756 -2.53 0.403 -0.707 
1.745 0 1.89 0.0756 -0.00299 -2.51 0.144 1.89 0.0756 -2.51 0.403 -0.744 
1.814 0 1.89 0.0756 0.00544 -2.53 -0.0402 1.89 0.0756 -2.53 -1 0 
1.883 0 1.89 0.0771 -0.0107 -2.48 0.332 1.89 0.0771 -2.48 -1 0 
1.964 0 1.89 0.0771 -0.0119 -2.48 0.438 1.89 0.0771 -2.48 -1 0 
2.04 0 1.89 0.0756 0.0066 -2.51 -0.162 1.89 0.0756 -2.51 -0.0321 0 
2.121 0 1.89 0.0756 0.0121 -2.51 -0.326 1.89 0.0756 -2.51 -0.0153 0 
2.193 0 1.89 0.0771 0.00105 -2.48 0.00117 1.89 0.0771 -2.48 -0.015 0 
2.264 0 1.89 0.0771 -0.000215 -2.48 0.00652 1.89 0.0771 -2.48 -0.015 0 
2.338 0 1.89 0.0756 0.0125 -2.53 -0.291 1.89 0.0756 -2.53 -0.015 0 
2.412 0 1.89 0.0756 3.19e-005 -2.51 -0.0156 1.89 0.0756 -2.51 -0.015 0 
2.486 0 1.89 0.077 0.0027 -2.49 0.0779 1.89 0.077 -2.49 -0.015 0 
2.559 0 1.89 0.0756 0.0049 -2.51 -0.101 1.89 0.0756 -2.51 -0.015 0 
2.631 0 1.89 0.0756 0.00753 -2.51 -0.173 1.89 0.0756 -2.51 -0.015 0 
2.706 0 1.89 0.0771 -0.00251 -2.48 0.115 1.89 0.0771 -2.48 -0.015 0 
2.78 0 1.89 0.0771 -0.0027 -2.48 0.138 1.89 0.0771 -2.48 -0.015 0 
2.858 0 1.89 0.0771 -0.00711 -2.48 0.245 1.89 0.0771 -2.48 -0.015 0 
2.932 0 1.89 0.0756 0.00511 -2.51 -0.124 1.89 0.0756 -2.51 -0.015 0 
3.004 0 1.89 0.0778 -0.00547 -2.5 0.0327 1.89 0.0778 -2.5 -0.1 0 
3.081 0 1.89 0.0801 -0.0262 -2.48 0.155 1.89 0.0801 -2.48 -0.1 0 
3.151 0 1.9 0.084 -0.0574 -2.5 0.00664 1.9 0.084 -2.5 -0.1 0 
3.223 0 1.9 0.0879 -0.0889 -2.54 -0.287 1.9 0.0879 -2.54 -0.1 0 
3.299 0 1.91 0.0932 -0.0881 -2.5 0.144 1.91 0.0932 -2.5 -0.1 0 
3.37 0 1.92 0.0995 -0.136 -2.51 0.239 1.92 0.0995 -2.51 -0.1 0 
3.441 0 1.93 0.106 -0.13 -2.5 0.169 1.93 0.106 -2.5 -0.1 0 
3.513 0 1.94 0.114 -0.136 -2.48 0.153 1.94 0.114 -2.48 -0.1 0 
3.585 0 1.95 0.121 -0.164 -2.5 -0.106 1.95 0.121 -2.5 -0.1 0 
3.657 0 1.96 0.13 -0.18 -2.5 -0.0338 1.96 0.13 -2.5 -0.1 0 
