sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.99 0 0 0 0 0 1e-006 0.948 0.378 2.06 0 0 
1.057 0 0 0 0 0 1e-006 0.943 0.39 2.1 0 0 
1.123 0 0.943 0.39 0.463 2.1 1.04 0.943 0.39 2.1 0.00781 -1 
1.19 0 0.943 0.389 0.35 2.07 0.767 0.943 0.389 2.07 0.0967 -1 
1.256 0 0.942 0.395 0.24 2.02 0.358 0.942 0.395 2.02 0.181 -1 
1.322 0 0.938 0.404 0.187 1.97 -0.0593 NaN NaN NaN 0.236 -1 
1.389 0 0.94 0.398 0.0599 2 0.0642 0.94 0.398 2 0.344 -1 
1.456 0 0.938 0.402 0.0616 1.97 -0.0776 0.938 0.402 1.97 0.353 -1 
1.525 0 0.938 0.402 0.0307 1.97 -0.0507 0.938 0.402 1.97 0.371 -1 
1.591 0 0.938 0.402 0.0159 1.97 -0.0304 0.938 0.402 1.97 0.386 -1 
1.663 0 0.938 0.402 0.0134 1.97 -0.0756 0.938 0.402 1.97 0.393 -1 
1.73 0 0.938 0.402 0.00219 1.97 0.0224 0.938 0.402 1.97 0.401 -1 
1.797 0 0.938 0.402 0.00595 1.97 -0.0279 0.938 0.402 1.97 -1 0 
1.864 0 0.938 0.402 0.00416 1.97 -0.0242 0.938 0.402 1.97 -1 0 
1.932 0 0.938 0.402 -0.00358 1.97 0.0546 0.938 0.402 1.97 -0.307 0 
1.998 0 0.94 0.401 -0.0256 2 0.274 0.94 0.401 2 -0.0201 0 
2.065 0 0.938 0.402 -0.00573 1.97 0.0787 0.938 0.402 1.97 -0.0151 0 
2.13 0 0.938 0.402 -0.00401 1.97 0.0624 0.938 0.402 1.97 -0.015 0 
2.198 0 0.938 0.402 0.0196 1.97 -0.174 0.938 0.402 1.97 -0.015 0 
2.264 0 0.938 0.402 0.0111 1.97 -0.111 0.938 0.402 1.97 -0.015 0 
2.33 0 0.938 0.402 0.0095 1.97 -0.0995 0.938 0.402 1.97 -0.015 0 
2.405 0 0.938 0.402 0.00352 1.97 -0.0411 0.938 0.402 1.97 -0.015 0 
2.472 0 0.94 0.401 -0.0141 2 0.14 0.94 0.401 2 -0.015 0 
2.538 0 0.938 0.402 0.00219 1.97 -0.022 0.938 0.402 1.97 -0.015 0 
2.604 0 0.938 0.402 0.0138 1.97 -0.133 0.938 0.402 1.97 -0.015 0 
2.669 0 0.938 0.402 0.00724 1.97 -0.081 0.938 0.402 1.97 -0.015 0 
2.736 0 0.938 0.402 0.00484 1.97 -0.0555 0.938 0.402 1.97 -0.015 0 
2.808 0 0.938 0.402 0.00951 1.97 -0.103 0.938 0.402 1.97 -0.1 0 
2.873 0 0.94 0.398 -0.0311 2 0.146 0.94 0.398 2 -0.1 0 
2.938 0 0.943 0.395 -0.0474 2 -0.0532 0.943 0.395 2 -0.1 0 
3.004 0 0.942 0.392 -0.054 2.02 0.241 0.942 0.392 2.02 -0.1 0 
3.07 0 0.945 0.389 -0.0538 2.02 0.0651 0.945 0.389 2.02 -0.1 0 
3.136 0 0.944 0.386 -0.0425 2.02 0.136 0.944 0.386 2.02 -0.1 0 
3.203 0 0.948 0.382 -0.0486 1.97 -0.369 0.948 0.382 1.97 -0.1 0 
3.272 0 0.95 0.376 -0.0676 2 -0.0544 0.95 0.376 2 -0.1 0 
3.339 0 0.954 0.369 -0.0918 1.99 -0.182 0.954 0.369 1.99 -0.1 0 
3.406 0 0.957 0.36 -0.112 1.98 0.0662 0.957 0.36 1.98 -0.1 0 
3.472 0 0.963 0.353 -0.12 2.07 0.62 0.963 0.353 2.07 -0.1 0 
3.537 0 0.967 0.345 -0.121 2.08 0.584 0.967 0.345 2.08 -0.1 0 
3.603 0 0.971 0.336 -0.117 2.08 0.607 0.971 0.336 2.08 -0.1 0 
3.67 0 0.972 0.328 -0.122 2 -0.0995 0.972 0.328 2 -0.1 0 
3.74 0 0.977 0.318 -0.138 1.97 -0.415 0.977 0.318 1.97 -0.1 0 
3.804 0 0.984 0.309 -0.151 2.03 -0.0529 0.984 0.309 2.03 -0.1 0 
3.872 0 0.986 0.3 -0.131 2.08 -0.143 0.986 0.3 2.08 -0.1 0 
3.937 0 0.99 0.289 -0.158 2 -0.572 0.99 0.289 2 -0.1 0 
4.004 0 0.995 0.277 -0.174 2.02 -0.293 0.995 0.277 2.02 -0.1 0 
4.07 0 1 0.268 -0.165 2.03 0.0738 1 0.268 2.03 -0.1 0 
4.137 0 1 0.26 -0.129 1.99 -0.385 1 0.26 1.99 0.4 1 
4.204 0 1.01 0.254 -0.112 2.06 0.105 1.01 0.254 2.06 0.4 1 
4.272 0 1 0.257 -0.0227 2.11 0.491 1 0.257 2.11 0.401 1 
4.34 0 0.996 0.27 0.102 2.18 0.957 0.996 0.27 2.18 0.401 1 
4.406 0 0.98 0.283 0.201 2.33 1.51 0.98 0.283 2.33 0.401 1 
4.473 0 0.959 0.296 0.289 2.51 2.04 0.959 0.296 2.51 0.401 1 
4.538 0 0.933 0.305 0.346 2.66 2.48 0.933 0.305 2.66 0.402 0.973 
4.604 0 0.902 0.311 0.417 2.82 2.57 0.902 0.311 2.82 0.402 0.703 
4.672 0 0.866 0.314 0.467 3.03 2.84 0.866 0.314 3.03 0.403 0.49 
4.74 0 0.828 0.315 0.51 -3.13 2.32 0.828 0.315 -3.13 0.403 0.118 
4.806 0 0.785 0.31 0.573 -3.13 1.39 0.785 0.31 -3.13 0.403 0.00245 
4.872 0 0.738 0.31 0.623 -3.09 1.03 0.738 0.31 -3.09 0.404 -0.113 
4.937 0 0.691 0.309 0.669 3.09 -0.0696 0.691 0.309 3.09 0.404 -0.188 
5.004 0 0.639 0.318 0.716 3.05 -0.222 0.639 0.318 3.05 0.404 -0.322 
5.071 0 0.586 0.329 0.756 2.86 -1.23 0.586 0.329 2.86 0.405 -0.333 
5.139 0 0.531 0.352 0.807 2.7 -1.88 0.531 0.352 2.7 0.405 -0.275 
5.206 0 0.483 0.381 0.815 2.58 -1.89 0.483 0.381 2.58 0.405 -0.314 
5.271 0 0.433 0.42 0.888 2.48 -1.9 0.433 0.42 2.48 0.406 -0.272 
5.339 0 0.387 0.465 0.897 2.3 -2.16 0.387 0.465 2.3 0.406 -0.201 
5.405 0 0.348 0.518 0.944 2.22 -1.75 0.348 0.518 2.22 0.406 -0.198 
5.472 0 0.313 0.576 0.977 2.09 -1.78 0.313 0.576 2.09 0.406 -0.144 
5.54 0 0.283 0.639 0.982 1.99 -1.53 0.283 0.639 1.99 0.407 -0.135 
5.605 0 0.258 0.708 1.03 1.92 -1.16 0.258 0.708 1.92 0.399 -0.105 
5.674 0 0.234 0.778 1.03 1.83 -1.32 0.234 0.778 1.83 0.379 -0.126 
5.739 0 0.215 0.855 1.1 1.77 -1.21 0.215 0.855 1.77 0.37 -0.0844 
5.806 0 0.204 0.93 1.12 1.74 -0.85 0.204 0.93 1.74 0.371 -0.055 
5.871 0 0.19 1.01 1.15 1.69 -0.824 0.19 1.01 1.69 0.347 -0.0513 
5.939 0 0.181 1.08 1.11 1.7 -0.535 0.181 1.08 1.7 0.366 -0.0275 
6.005 0 0.172 1.16 1.12 1.7 -0.206 0.172 1.16 1.7 0.393 -0.0446 
6.071 0 0.162 1.24 1.12 1.63 -0.448 0.162 1.24 1.63 0.361 -0.0843 
6.138 0 0.156 1.32 1.13 1.63 -0.209 0.156 1.32 1.63 0.304 -0.159 
6.207 0 0.157 1.39 1.11 1.52 -0.797 0.157 1.39 1.52 0.254 -0.23 
6.273 0 0.167 1.47 1.09 1.41 -1.06 0.167 1.47 1.41 0.225 -0.311 
6.339 0 0.185 1.53 1.06 1.25 -1.39 0.185 1.53 1.25 0.243 -0.351 
6.406 0 0.215 1.59 1.01 1.12 -1.76 0.215 1.59 1.12 0.284 -0.34 
6.472 0 0.252 1.65 0.977 0.948 -2.02 0.252 1.65 0.948 0.346 -0.292 
6.539 0 0.293 1.69 0.933 0.799 -2 0.293 1.69 0.799 0.403 -0.222 
6.607 0 0.342 1.73 0.927 0.723 -1.75 0.342 1.73 0.723 0.411 -0.182 
6.673 0 0.396 1.77 0.938 0.587 -1.96 0.396 1.77 0.587 0.412 -0.128 
6.739 0 0.456 1.81 0.988 0.521 -1.55 0.456 1.81 0.521 0.412 -0.107 
6.805 0 0.52 1.84 1.02 0.492 -1.14 0.52 1.84 0.492 0.41 -0.143 
6.872 0 0.585 1.87 1.03 0.371 -1.33 0.585 1.87 0.371 0.374 -0.185 
6.94 0 0.654 1.89 1.03 0.29 -1.49 0.654 1.89 0.29 0.371 -0.198 
7.006 0 0.725 1.9 1.03 0.203 -1.43 0.725 1.9 0.203 0.315 -0.302 
7.073 0 0.795 1.91 1.01 0.0543 -1.72 0.795 1.91 0.0543 0.246 -0.415 
7.141 0 0.862 1.9 0.972 -0.0527 -1.57 0.862 1.9 -0.0527 0.212 -0.463 
7.206 0 0.926 1.89 0.966 -0.224 -1.8 0.926 1.89 -0.224 0.203 -0.58 
7.274 0 0.981 1.87 0.879 -0.369 -2.06 0.981 1.87 -0.369 0.24 -0.564 
7.34 0 1.03 1.84 0.847 -0.559 -2.21 1.03 1.84 -0.559 0.255 -0.566 
7.406 0 1.07 1.8 0.84 -0.744 -2.57 1.07 1.8 -0.743 0.306 -0.543 
7.473 0 1.1 1.76 0.775 -0.929 -2.38 1.1 1.76 -0.929 0.399 -0.447 
7.539 0 1.11 1.71 0.749 -1.17 -2.88 1.11 1.71 -1.17 0.415 -0.447 
7.605 0 1.13 1.66 0.77 -1.4 -2.96 1.13 1.66 -1.4 0.415 -0.323 
7.673 0 1.13 1.61 0.782 -1.49 -2.05 1.13 1.61 -1.49 0.416 -0.267 
7.741 0 1.12 1.55 0.811 -1.67 -2.26 1.12 1.55 -1.67 0.416 -0.228 
7.806 0 1.11 1.49 0.865 -1.78 -2.16 1.11 1.49 -1.78 0.416 -0.2 
7.874 0 1.09 1.43 0.879 -1.89 -1.65 1.09 1.43 -1.89 0.417 -0.17 
