sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.278 0 0 0 0 0 1e-006 0.162 1.31 1.25 0 0 
2.682 0 0 0 0 0 1e-006 0.205 1.43 1.23 0 0 
2.774 0 0.205 1.43 0.0668 1.25 0.373 0.205 1.43 1.25 0.114 -0.172 
2.858 0 0.206 1.43 0.0601 1.21 0.193 0.206 1.43 1.21 0.4 -0.162 
2.941 0 0.212 1.45 0.118 1.21 0.191 0.212 1.45 1.21 0.401 -0.197 
3.022 0 0.221 1.47 0.206 1.18 -0.073 0.221 1.47 1.18 0.401 -0.171 
3.121 0 0.24 1.5 0.311 1.14 -0.102 0.24 1.5 1.14 0.402 -0.204 
3.205 0 0.263 1.55 0.463 1.04 -0.672 0.263 1.55 1.04 0.402 -0.184 
3.292 0 0.295 1.59 0.556 0.963 -0.77 0.295 1.59 0.963 0.403 -0.159 
3.376 0 0.332 1.64 0.642 0.884 -0.95 0.332 1.64 0.884 0.403 -0.163 
3.454 0 0.378 1.68 0.749 0.761 -1.22 0.378 1.68 0.761 0.403 -0.209 
3.536 0 0.436 1.73 0.845 0.65 -1.29 0.436 1.73 0.65 0.404 -0.164 
3.621 0 0.511 1.78 0.923 0.549 -1.16 0.511 1.78 0.549 0.404 -0.168 
3.701 0 0.583 1.81 0.937 0.445 -1.06 0.583 1.81 0.445 0.401 -0.205 
3.786 0 0.679 1.84 1.02 0.268 -1.53 0.679 1.84 0.268 0.347 -0.173 
3.861 0 0.775 1.86 1.13 0.168 -1.29 0.775 1.86 0.168 0.261 -0.23 
3.94 0 0.873 1.86 1.21 0.0173 -1.26 0.873 1.86 0.0173 0.194 -0.315 
4.024 0 0.966 1.85 1.08 -0.227 -1.71 0.966 1.85 -0.227 0.178 -0.459 
4.104 0 1.05 1.82 1.1 -0.335 -1.58 1.05 1.82 -0.335 0.158 -0.536 
4.191 0 1.13 1.77 1.03 -0.599 -2.14 1.13 1.77 -0.599 0.0987 -0.631 
4.275 0 1.19 1.71 1.02 -0.886 -2.77 1.19 1.71 -0.887 0.108 -0.641 
4.359 0 1.23 1.64 0.956 -1.1 -2.64 1.23 1.64 -1.1 0.136 -0.688 
4.446 0 1.25 1.56 0.842 -1.31 -2.69 1.25 1.56 -1.31 0.205 -0.675 
4.528 0 1.26 1.49 0.815 -1.59 -2.94 1.26 1.49 -1.59 0.222 -0.654 
4.611 0 1.23 1.42 0.796 -1.92 -3.14 1.23 1.42 -1.92 0.263 -0.668 
4.696 0 1.2 1.36 0.792 -2.13 -2.79 1.2 1.36 -2.13 0.375 -0.484 
4.777 0 1.15 1.32 0.774 -2.33 -2.59 1.15 1.32 -2.33 0.407 -0.301 
4.863 0 1.09 1.27 0.789 -2.59 -2.53 1.09 1.27 -2.59 0.408 -0.0979 
4.95 0 1.01 1.23 0.871 -2.65 -1.69 1.01 1.23 -2.65 0.408 0.0823 
5.035 0 0.94 1.19 0.934 -2.61 -0.543 0.94 1.19 -2.61 0.318 0.408 
5.124 0 0.855 1.13 1.01 -2.35 0.919 0.855 1.13 -2.35 0.154 0.701 
5.212 0 0.796 1.05 1.02 -2.15 1.42 0.796 1.05 -2.15 0.00335 0.827 
