sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.904 0 0 0 0 0 1e-006 0.658 0.206 3.14 0 0 
0.97 0 0 0 0 0 1e-006 0.646 0.207 -3.1 0 0 
1.041 0 0.646 0.206 0.316 3.14 1.56 0.646 0.206 3.14 0.114 -0.568 
1.107 0 0.645 0.206 0.241 3.14 17.2 0.645 0.206 3.14 0.4 -0.538 
1.172 0 0.635 0.208 0.192 3.08 11.8 0.635 0.208 3.08 0.401 -0.542 
1.238 0 0.62 0.212 0.205 3.03 7.25 0.62 0.212 3.03 0.401 -0.527 
1.304 0 0.598 0.218 0.254 2.95 4.03 0.598 0.218 2.95 0.401 -0.5 
1.371 0 0.572 0.227 0.319 2.84 1.61 0.572 0.227 2.84 0.402 -0.4 
1.437 0 0.541 0.241 0.415 2.68 -0.131 0.541 0.241 2.68 0.402 -0.41 
1.504 0 0.509 0.262 0.494 2.64 -0.15 0.509 0.262 2.64 0.402 -0.334 
1.585 0 0.467 0.294 0.526 2.47 -0.645 0.467 0.294 2.47 0.403 -0.299 
1.651 0 0.431 0.331 0.616 2.38 -0.757 0.431 0.331 2.38 0.403 -0.214 
1.716 0 0.395 0.373 0.71 2.26 -1.17 0.395 0.373 2.26 0.403 -0.234 
1.784 0 0.362 0.422 0.786 2.17 -1.2 0.362 0.422 2.17 0.404 -0.178 
1.852 0 0.329 0.48 0.849 2.12 -0.975 0.329 0.48 2.12 0.404 -0.209 
1.918 0 0.3 0.542 0.929 1.95 -1.48 0.3 0.542 1.95 0.404 -0.181 
1.984 0 0.279 0.611 1 1.86 -1.13 0.279 0.611 1.86 0.4 -0.205 
2.053 0 0.259 0.682 1 1.74 -1.15 0.259 0.682 1.74 0.402 -0.15 
2.117 0 0.251 0.762 1.1 1.65 -1.31 0.251 0.762 1.65 0.378 -0.078 
2.184 0 0.247 0.845 1.15 1.58 -1.23 0.247 0.845 1.58 0.348 -0.0461 
