sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.025 0 0 0 0 0 1e-006 1.29 1.44 -1.11 0.237 -0.448 
1.094 0 0 0 0 0 1e-006 1.29 1.43 -1.1 0 0 
1.161 0 1.29 1.43 0.629 -1.1 -0.542 1.29 1.43 -1.1 -0.0233 -1 
1.232 0 1.29 1.43 0.455 -1.15 -0.603 1.29 1.43 -1.15 0.0773 -1 
1.303 0 1.29 1.43 0.26 -1.14 -0.384 1.29 1.43 -1.14 0.221 -1 
1.37 0 1.3 1.42 0.208 -1.25 -0.965 1.3 1.42 -1.25 0.307 -1 
1.44 0 1.3 1.4 0.22 -1.31 -1.09 1.3 1.4 -1.31 0.319 -1 
1.514 0 1.3 1.39 0.197 -1.43 -1.03 1.3 1.39 -1.43 0.384 -1 
1.58 0 1.3 1.37 0.236 -1.54 -1.24 1.3 1.37 -1.54 0.377 -1 
1.649 0 1.29 1.35 0.25 -1.62 -1.17 1.29 1.35 -1.62 0.363 -1 
1.715 0 1.28 1.33 0.287 -1.77 -1.57 1.28 1.33 -1.77 0.386 -1 
1.783 0 1.27 1.31 0.322 -1.95 -1.87 1.27 1.31 -1.95 0.401 -0.988 
1.849 0 1.25 1.28 0.372 -2.14 -2.07 1.25 1.28 -2.14 0.403 -0.93 
1.915 0 1.23 1.26 0.423 -2.36 -2.55 1.23 1.26 -2.36 0.403 -0.719 
1.982 0 1.2 1.24 0.456 -2.6 -2.93 1.2 1.24 -2.6 0.403 -0.461 
2.048 0 1.15 1.23 0.552 -2.73 -2.54 1.15 1.23 -2.73 0.404 -0.254 
2.115 0 1.1 1.22 0.656 -2.84 -1.93 1.1 1.22 -2.84 0.404 -0.0723 
2.182 0 1.05 1.2 0.716 -2.89 -1.12 1.05 1.2 -2.89 0.404 0.169 
2.249 0 0.997 1.19 0.782 -2.9 -0.762 0.997 1.19 -2.9 0.405 0.37 
2.315 0 0.939 1.17 0.832 -2.76 0.246 0.939 1.17 -2.76 0.361 0.481 
2.387 0 0.879 1.13 0.864 -2.54 1.4 0.879 1.13 -2.54 0.232 0.666 
2.459 0 0.833 1.09 0.846 -2.34 1.81 0.833 1.09 -2.34 0.173 0.841 
2.526 0 0.798 1.04 0.867 -2.13 2.38 0.798 1.04 -2.13 0.119 0.846 
2.592 0 0.777 0.985 0.853 -1.89 2.75 0.777 0.985 -1.89 0.095 0.844 
2.659 0 0.77 0.927 0.854 -1.71 2.85 0.77 0.927 -1.71 0.137 0.822 
2.727 0 0.776 0.867 0.854 -1.43 3.36 0.776 0.867 -1.43 0.169 0.764 
2.794 0 0.796 0.817 0.82 -1.17 3.48 0.796 0.817 -1.17 0.232 0.66 
