sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.01 0 0 0 0 0 1e-006 0.348 0.234 -3.14 0.24 -0.0955 
0.628 0 0 0 0 0 1e-006 0.333 0.236 -3.12 0 0 
0.695 0 0.334 0.236 0.154 -3.12 -1.46 0.334 0.236 -3.12 0.0787 -1 
0.763 0 0.331 0.237 0.131 -3.14 -1.3 0.331 0.237 -3.14 0.295 -1 
0.828 0 0.322 0.238 0.139 3.1 21.4 0.322 0.238 3.1 0.308 -1 
0.896 0 0.314 0.24 0.13 3.03 12.9 0.314 0.24 3.03 0.3 -1 
0.962 0 0.312 0.241 0.0804 3.01 7.69 0.312 0.241 3.01 0.339 -1 
1.039 0 0.31 0.241 0.05 2.99 3.67 0.31 0.241 2.99 0.37 -1 
1.103 0 0.309 0.241 0.0339 2.99 2.37 0.309 0.241 2.99 0.389 -1 
1.17 0 0.309 0.241 0.0172 2.99 1.41 0.309 0.241 2.99 0.401 -1 
1.237 0 0.307 0.242 0.0257 2.96 0.662 0.307 0.242 2.96 0.402 -1 
1.303 0 0.301 0.246 0.0651 2.94 0.161 0.301 0.246 2.94 0.369 -1 
1.38 0 0.292 0.248 0.0789 2.87 -0.414 0.293 0.248 2.87 0.376 -1 
1.446 0 0.282 0.253 0.118 2.79 -0.886 0.282 0.253 2.79 0.369 -1 
1.512 0 0.272 0.261 0.138 2.74 -0.936 0.272 0.261 2.74 0.338 -1 
1.577 0 0.258 0.27 0.178 2.63 -1.34 0.258 0.27 2.63 0.321 -1 
1.644 0 0.247 0.278 0.189 2.55 -1.23 0.247 0.278 2.55 0.335 -1 
1.711 0 0.237 0.29 0.202 2.44 -1.45 0.237 0.29 2.44 0.404 -1 
1.777 0 0.224 0.307 0.247 2.35 -1.53 0.224 0.307 2.35 0.402 -1 
1.844 0 0.211 0.328 0.303 2.22 -1.52 0.211 0.328 2.22 0.403 -0.956 
1.913 0 0.199 0.356 0.35 2 -2.15 0.199 0.356 2 0.405 -0.89 
1.984 0 0.193 0.395 0.427 1.78 -2.52 0.193 0.395 1.78 0.406 -0.647 
2.051 0 0.192 0.437 0.51 1.58 -2.53 0.192 0.437 1.58 0.406 -0.394 
2.117 0 0.198 0.483 0.595 1.45 -2.19 0.198 0.483 1.45 0.407 -0.217 
