sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.047 0 0 0 0 0 1e-006 0.164 1.03 1.18 -0.1 0 
1.11 0 0 0 0 0 1e-006 0.206 1.13 1.17 0 0 
1.179 0 0.208 1.13 0.107 1.2 0.589 0.208 1.13 1.2 0.114 0.174 
1.246 0 0.21 1.14 0.0973 1.19 0.57 0.21 1.14 1.19 0.4 0.238 
1.313 0 0.213 1.15 0.13 1.2 0.438 0.213 1.15 1.2 0.401 0.21 
1.381 0 0.219 1.16 0.202 1.2 0.391 0.219 1.16 1.2 0.401 0.192 
1.447 0 0.225 1.19 0.276 1.25 0.502 0.225 1.19 1.25 0.401 0.189 
1.516 0 0.232 1.22 0.362 1.31 0.61 0.232 1.22 1.31 0.402 0.145 
1.585 0 0.24 1.26 0.454 1.3 0.309 0.24 1.26 1.3 0.402 0.184 
1.654 0 0.249 1.29 0.475 1.35 0.384 0.249 1.29 1.35 0.402 0.107 
1.719 0 0.255 1.34 0.596 1.39 0.439 0.255 1.34 1.39 0.403 0.0364 
1.785 0 0.265 1.39 0.679 1.4 0.329 0.265 1.39 1.4 0.403 -0.0274 
1.851 0 0.276 1.45 0.756 1.38 0.178 0.276 1.45 1.38 0.403 -0.102 
1.916 0 0.289 1.51 0.841 1.29 -0.648 0.289 1.51 1.29 0.404 -0.188 
1.983 0 0.309 1.57 0.881 1.2 -0.897 0.309 1.57 1.2 0.403 -0.323 
2.051 0 0.339 1.63 0.929 1.03 -1.37 0.339 1.63 1.03 0.385 -0.309 
2.122 0 0.379 1.69 0.892 0.858 -1.77 0.379 1.69 0.858 0.361 -0.297 
2.19 0 0.432 1.74 0.965 0.734 -1.81 0.432 1.74 0.734 0.356 -0.274 
2.258 0 0.495 1.79 1.03 0.57 -2.05 0.495 1.79 0.57 0.279 -0.293 
2.324 0 0.56 1.82 1.05 0.447 -2.01 0.56 1.82 0.447 0.315 -0.225 
2.391 0 0.627 1.84 1.04 0.32 -1.8 0.627 1.84 0.32 0.323 -0.191 
2.46 0 0.694 1.86 0.982 0.21 -1.39 0.694 1.86 0.21 0.365 -0.149 
2.526 0 0.764 1.87 0.996 0.101 -1.67 0.764 1.87 0.101 0.363 -0.195 
2.593 0 0.836 1.87 1.02 0.0147 -1.32 0.836 1.87 0.0147 0.334 -0.236 
2.66 0 0.907 1.86 1.02 -0.0709 -1.18 0.907 1.86 -0.0709 0.278 -0.358 
2.726 0 0.978 1.84 1.05 -0.287 -1.73 0.978 1.84 -0.287 0.242 -0.343 
2.792 0 1.04 1.82 1.05 -0.458 -2.17 1.04 1.82 -0.458 0.191 -0.463 
2.858 0 1.1 1.78 1.03 -0.59 -1.97 1.1 1.78 -0.59 0.191 -0.482 
2.927 0 1.14 1.73 0.925 -0.794 -2.33 1.14 1.73 -0.794 0.228 -0.5 
2.994 0 1.18 1.68 0.874 -0.954 -1.89 1.18 1.68 -0.954 0.253 -0.472 
3.06 0 1.2 1.63 0.873 -1.16 -2.14 1.2 1.63 -1.16 0.322 -0.438 
3.125 0 1.21 1.57 0.881 -1.41 -2.78 1.21 1.57 -1.41 0.289 -0.514 
3.192 0 1.22 1.51 0.882 -1.54 -2.55 NaN NaN NaN 0.275 -0.513 
3.26 0 1.21 1.45 0.8 -1.76 -2.91 1.21 1.45 -1.76 0.302 -0.463 
3.327 0 1.18 1.4 0.802 -2 -3.3 1.18 1.4 -2 0.407 -0.414 
3.394 0 1.15 1.36 0.807 -2.16 -2.98 1.15 1.36 -2.16 0.409 -0.356 
