sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.021 0 0 0 0 0 1e-006 0.213 1.06 1.73 0.353 -0.16 
1.084 0 0 0 0 0 1e-006 0.209 1.08 1.74 0 0 
1.152 0 0.209 1.08 0.107 1.74 0.855 0.209 1.08 1.74 0.114 -0.335 
1.221 0 0.21 1.08 0.0823 1.71 0.676 0.21 1.08 1.71 0.4 -0.308 
1.288 0 0.21 1.08 0.104 1.71 0.385 0.21 1.08 1.71 0.401 -0.299 
1.354 0 0.209 1.1 0.153 1.65 -0.206 0.209 1.1 1.65 0.401 -0.239 
1.42 0 0.209 1.12 0.24 1.6 -0.351 0.209 1.12 1.6 0.401 -0.211 
1.484 0 0.21 1.15 0.311 1.56 -0.551 0.21 1.15 1.56 0.402 -0.152 
1.551 0 0.213 1.18 0.398 1.54 -0.447 0.213 1.18 1.54 0.402 -0.134 
1.62 0 0.216 1.22 0.461 1.49 -0.438 0.216 1.22 1.49 0.402 -0.0868 
1.691 0 0.221 1.26 0.532 1.48 -0.0722 0.221 1.26 1.48 0.403 -0.0662 
1.759 0 0.227 1.31 0.625 1.42 -0.324 0.227 1.31 1.42 0.403 -0.0614 
1.824 0 0.236 1.36 0.703 1.4 -0.215 0.236 1.36 1.4 0.403 -0.106 
1.892 0 0.248 1.42 0.753 1.34 -0.43 0.248 1.42 1.34 0.404 -0.0913 
1.957 0 0.263 1.48 0.847 1.29 -0.442 0.263 1.48 1.29 0.404 -0.169 
2.025 0 0.282 1.54 0.888 1.2 -0.817 0.282 1.54 1.2 0.404 -0.243 
2.092 0 0.312 1.6 0.948 1.07 -1.4 0.312 1.6 1.07 0.383 -0.243 
2.159 0 0.35 1.66 0.98 0.925 -1.68 0.35 1.66 0.925 0.355 -0.282 
2.227 0 0.398 1.71 0.962 0.827 -1.46 0.398 1.71 0.828 0.366 -0.259 
2.293 0 0.455 1.75 1 0.677 -1.54 0.455 1.75 0.677 0.346 -0.225 
2.357 0 0.516 1.79 1.06 0.533 -1.82 0.516 1.79 0.533 0.314 -0.222 
2.425 0 0.58 1.82 1.03 0.425 -1.74 0.58 1.82 0.425 0.332 -0.237 
2.493 0 0.645 1.84 0.994 0.279 -1.74 0.645 1.84 0.279 0.372 -0.144 
2.56 0 0.714 1.86 1 0.174 -1.48 0.714 1.86 0.174 0.385 -0.185 
2.627 0 0.784 1.86 1.01 0.117 -1.07 0.784 1.86 0.117 0.361 -0.225 
2.694 0 0.856 1.87 1.01 -0.0272 -1.34 0.856 1.87 -0.0272 0.321 -0.214 
2.762 0 0.929 1.85 1.02 -0.122 -1.3 0.929 1.85 -0.122 0.303 -0.343 
2.829 0 0.994 1.84 1.01 -0.329 -1.71 0.994 1.84 -0.329 0.247 -0.4 
2.898 0 1.06 1.81 0.982 -0.524 -2.42 1.06 1.81 -0.524 0.229 -0.47 
2.965 0 1.11 1.76 1.01 -0.706 -2.67 1.11 1.76 -0.706 0.202 -0.467 
