sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.011 0 0 0 0 0 1e-006 0.571 0.84 -0.948 -0.0128 0.929 
0.645 0 0 0 0 0 1e-006 0.578 0.834 -1.02 0 0 
0.723 0 0.578 0.834 0.272 -1.02 -0.488 0.578 0.834 -1.02 0.114 0.399 
0.803 0 0.578 0.832 0.2 -0.99 -0.357 0.578 0.832 -0.99 0.4 0.347 
0.886 0 0.585 0.821 0.164 -0.907 0.151 0.585 0.821 -0.907 0.401 0.339 
0.968 0 0.603 0.801 0.24 -0.911 0.0314 0.603 0.801 -0.911 0.401 0.269 
1.06 0 0.627 0.773 0.332 -0.819 0.651 0.627 0.773 -0.819 0.372 1 
1.154 0 0.661 0.751 0.335 -0.619 1.44 0.661 0.751 -0.619 0.4 0.837 
1.245 0 0.708 0.733 0.459 -0.349 2.22 0.708 0.733 -0.349 0.403 0.418 
1.322 0 0.756 0.725 0.546 -0.188 2.22 0.756 0.725 -0.188 0.403 0.131 
1.403 0 0.814 0.719 0.614 -0.146 1.17 0.814 0.719 -0.146 0.403 0.0205 
1.488 0 0.885 0.711 0.739 -0.0801 0.929 0.885 0.711 -0.0801 0.404 -0.0516 
1.573 0 0.958 0.699 0.789 -0.125 0.59 0.958 0.699 -0.125 0.404 -0.0346 
1.654 0 1.04 0.686 0.91 -0.124 -0.0356 1.04 0.686 -0.124 0.405 0.0545 
1.744 0 1.14 0.67 0.99 -0.145 -0.0312 1.14 0.67 -0.145 0.384 0.206 
