sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.027 0 0 0 0 0 1e-006 0.262 1.1 2.01 0.4 -0.213 
1.096 0 0 0 0 0 1e-006 0.257 1.11 2 0 0 
1.164 0 0.255 1.11 0.129 1.96 0.971 0.255 1.11 1.96 0.114 -0.386 
1.229 0 0.257 1.12 0.098 1.99 0.888 0.257 1.12 1.99 0.4 -0.352 
1.299 0 0.254 1.13 0.117 1.98 0.551 0.254 1.13 1.98 0.401 -0.36 
1.364 0 0.248 1.14 0.188 1.88 -0.228 0.248 1.14 1.88 0.401 -0.317 
1.43 0 0.244 1.16 0.255 1.86 -0.441 0.244 1.16 1.86 0.401 -0.278 
1.495 0 0.239 1.19 0.331 1.81 -0.516 0.239 1.19 1.81 0.402 -0.265 
1.564 0 0.233 1.22 0.43 1.69 -1.04 0.233 1.22 1.69 0.402 -0.234 
1.63 0 0.233 1.26 0.479 1.67 -0.73 0.233 1.26 1.67 0.402 -0.213 
1.696 0 0.232 1.3 0.559 1.56 -0.994 0.232 1.3 1.56 0.403 -0.188 
1.764 0 0.235 1.35 0.635 1.52 -0.916 0.235 1.35 1.52 0.403 -0.176 
1.832 0 0.243 1.41 0.68 1.42 -1.14 0.243 1.41 1.42 0.403 -0.178 
1.897 0 0.254 1.46 0.749 1.32 -1.28 0.254 1.46 1.32 0.404 -0.177 
1.963 0 0.272 1.52 0.837 1.24 -1.28 0.272 1.52 1.24 0.404 -0.206 
2.028 0 0.299 1.58 0.902 1.11 -1.57 0.299 1.58 1.11 0.404 -0.271 
2.096 0 0.335 1.64 0.934 0.983 -1.48 0.335 1.64 0.983 0.4 -0.224 
2.167 0 0.386 1.7 1.01 0.764 -2.11 0.386 1.7 0.764 0.399 -0.18 
2.237 0 0.443 1.74 0.987 0.66 -1.98 0.443 1.74 0.66 0.395 -0.193 
2.305 0 0.507 1.79 1.04 0.552 -1.68 0.507 1.79 0.552 0.348 -0.196 
2.375 0 0.586 1.82 1.13 0.384 -1.93 0.586 1.82 0.384 0.287 -0.173 
2.442 0 0.657 1.84 1.11 0.257 -1.87 0.657 1.84 0.257 0.293 -0.179 
2.507 0 0.73 1.86 1.11 0.167 -1.57 0.73 1.86 0.167 0.289 -0.207 
2.575 0 0.805 1.86 1.1 0.0595 -1.81 0.805 1.86 0.0595 0.303 -0.22 
2.641 0 0.875 1.86 1.09 -0.0874 -2 0.875 1.86 -0.0874 0.267 -0.286 
2.709 0 0.943 1.85 1.03 -0.216 -2.11 0.943 1.85 -0.216 0.264 -0.373 
2.778 0 1.01 1.82 1.03 -0.321 -1.65 1.01 1.82 -0.321 0.239 -0.371 
2.845 0 1.07 1.8 0.969 -0.549 -2.36 1.07 1.8 -0.549 0.239 -0.485 
2.911 0 1.12 1.75 0.943 -0.751 -2.63 1.12 1.75 -0.751 0.255 -0.46 
2.975 0 1.16 1.71 0.957 -0.918 -2.54 1.16 1.71 -0.918 0.268 -0.402 
3.042 0 1.19 1.65 0.924 -1.09 -2.42 1.19 1.65 -1.09 0.28 -0.477 
3.109 0 1.21 1.59 0.901 -1.28 -2.66 1.21 1.59 -1.28 0.302 -0.421 
3.174 0 1.21 1.54 0.88 -1.48 -2.71 1.21 1.54 -1.48 0.291 -0.525 
3.243 0 1.21 1.48 0.834 -1.67 -2.59 1.21 1.48 -1.67 0.323 -0.525 
3.318 0 1.19 1.43 0.763 -1.97 -3.04 1.19 1.43 -1.97 0.403 -0.366 
3.385 0 1.16 1.38 0.779 -2.08 -2.51 1.16 1.38 -2.08 0.409 -0.319 
3.452 0 1.13 1.33 0.801 -2.34 -2.87 1.13 1.33 -2.34 0.41 -0.197 
3.518 0 1.08 1.29 0.86 -2.52 -2.4 1.08 1.29 -2.52 0.41 -0.0339 
3.584 0 1.02 1.25 0.931 -2.6 -1.94 1.02 1.25 -2.6 0.41 0.0872 
3.651 0 0.955 1.21 0.997 -2.6 -1.27 0.955 1.21 -2.6 0.359 0.254 
3.721 0 0.893 1.17 1 -2.42 0.517 0.893 1.17 -2.42 0.216 0.464 
3.788 0 0.839 1.11 1.06 -2.31 0.884 0.839 1.11 -2.31 0.0742 0.676 
3.853 0 0.799 1.05 1.07 -2.1 1.67 0.799 1.05 -2.1 -0.0125 0.767 
3.918 0 0.77 0.985 1.07 -1.92 1.99 0.77 0.985 -1.92 -0.0766 0.843 
3.984 0 0.76 0.923 1.01 -1.66 2.5 0.76 0.923 -1.66 -0.0609 0.872 
4.051 0 0.762 0.866 0.924 -1.48 2.64 0.762 0.866 -1.48 0.0131 0.849 
4.118 0 0.779 0.813 0.857 -1.21 2.88 0.779 0.813 -1.21 0.136 0.741 
4.188 0 0.806 0.759 0.821 -0.821 3.8 0.806 0.759 -0.821 0.252 0.53 
4.26 0 0.85 0.715 0.801 -0.492 3.79 0.85 0.715 -0.492 0.403 0.342 
4.326 0 0.9 0.69 0.802 -0.263 3.6 0.9 0.69 -0.263 0.412 0.267 
4.392 0 0.956 0.677 0.826 -0.129 2.96 0.956 0.677 -0.129 0.412 0.0684 
4.458 0 1.02 0.669 0.875 -0.132 1.6 1.02 0.669 -0.132 0.413 0.111 
4.524 0 1.09 0.663 0.944 -0.00297 1.67 1.09 0.663 -0.00293 0.413 0.1 
4.591 0 1.16 0.658 1.01 -0.025 0.953 1.16 0.658 -0.0249 0.398 0.212 
4.661 0 1.24 0.66 0.978 0.0856 1.12 1.24 0.66 0.0856 0.381 0.203 
4.733 0 1.32 0.67 0.996 0.154 1.22 1.32 0.67 0.154 0.349 0.261 
4.799 0 1.4 0.69 1.08 0.325 1.71 1.4 0.69 0.325 0.288 0.331 
4.865 0 1.47 0.72 1.1 0.461 2.02 1.47 0.72 0.461 0.256 0.302 
4.933 0 1.53 0.761 1.08 0.61 2.2 1.53 0.761 0.61 0.252 0.305 
5 0 1.59 0.809 1.07 0.727 1.89 1.59 0.809 0.727 0.257 0.284 
5.065 0 1.64 0.865 1.09 0.894 1.94 1.64 0.865 0.894 0.259 0.29 
5.134 0 1.68 0.924 1.02 1.04 1.58 1.68 0.924 1.04 0.321 0.261 
5.205 0 1.71 0.995 0.996 1.17 1.65 1.71 0.995 1.17 0.367 0.268 
5.274 0 1.73 1.06 0.996 1.26 1.29 1.73 1.06 1.26 0.356 0.248 
5.341 0 1.74 1.13 1.01 1.39 1.6 1.74 1.13 1.39 0.371 0.202 
5.407 0 1.75 1.21 1.06 1.51 1.68 1.75 1.21 1.51 0.403 0.135 
5.474 0 1.76 1.28 1.07 1.54 1.19 1.76 1.28 1.54 0.41 -0.0307 
5.54 0 1.76 1.36 1.15 1.54 0.633 1.76 1.36 1.54 0.335 -0.132 
5.606 0 1.77 1.44 1.16 1.48 0.168 1.77 1.44 1.48 0.256 -0.19 
5.675 0 1.79 1.53 1.14 1.33 -0.61 1.79 1.53 1.33 0.286 -0.233 
5.747 0 1.82 1.6 1.09 1.21 -0.949 1.82 1.6 1.21 0.259 -0.293 
5.813 0 1.85 1.66 1.09 1.07 -1.34 1.85 1.66 1.07 0.196 -0.459 
5.879 0 1.9 1.72 1.06 0.862 -2.3 1.9 1.72 0.862 0.0377 -0.729 
5.946 0 1.95 1.76 1.02 0.675 -2.6 1.95 1.76 0.675 -0.0414 -0.933 
6.011 0 2 1.79 0.975 0.455 -2.88 2 1.79 0.455 -0.0969 -1 
6.078 0 2.06 1.81 0.899 0.275 -3.04 2.06 1.81 0.275 -0.0483 -1 
6.155 0 2.11 1.81 0.722 -0.058 -3.62 2.11 1.81 -0.058 0.0811 -0.987 
6.222 0 2.16 1.8 0.734 -0.47 -4.41 2.16 1.8 -0.47 0.233 -0.792 
6.289 0 2.21 1.77 0.732 -1.04 -5.87 2.21 1.77 -1.04 0.403 -0.436 
6.355 0 2.24 1.74 0.645 -1.56 -6.55 2.24 1.74 -1.56 0.418 -0.0143 
6.421 0 2.25 1.71 0.553 -2.06 -7.02 2.25 1.71 -2.06 0.419 0.439 
6.487 0 2.25 1.67 0.478 -2.45 -6.4 2.25 1.67 -2.45 0.402 0.925 
6.553 0 2.24 1.64 0.473 -2.56 -4.33 2.24 1.64 -2.56 0.284 1 
6.624 0 2.22 1.62 0.411 -2.37 -0.914 2.22 1.62 -2.37 0.301 1 
6.695 0 2.2 1.59 0.414 -2.14 0.686 2.2 1.59 -2.14 0.38 1 
6.761 0 2.19 1.56 0.464 -1.96 1.47 2.19 1.56 -1.96 0.42 0.843 
6.827 0 2.19 1.52 0.522 -1.72 2.11 2.19 1.52 -1.72 0.42 0.655 
6.893 0 2.19 1.48 0.562 -1.48 2.68 2.19 1.48 -1.48 0.421 0.466 
6.961 0 2.2 1.43 0.649 -1.35 2.53 2.2 1.43 -1.35 0.421 0.247 
7.026 0 2.21 1.38 0.695 -1.23 2.47 2.21 1.38 -1.23 0.421 0.134 
7.094 0 2.23 1.32 0.763 -1.25 1.55 2.23 1.32 -1.25 0.422 -0.0713 
7.162 0 2.26 1.26 0.83 -1.29 0.739 2.26 1.26 -1.29 0.422 -0.0952 
7.228 0 2.27 1.2 0.9 -1.35 -0.286 2.27 1.2 -1.35 0.422 -0.136 
7.297 0 2.29 1.12 1.03 -1.44 -0.573 2.29 1.12 -1.44 0.416 -0.124 
7.367 0 2.29 1.04 1.05 -1.52 -1.03 2.29 1.04 -1.52 0.378 -0.176 
7.435 0 2.29 0.961 1.1 -1.61 -0.954 2.29 0.961 -1.61 0.397 -0.0753 
7.502 0 2.29 0.878 1.14 -1.63 -0.585 2.29 0.878 -1.63 0.356 -0.099 
7.571 0 2.27 0.787 1.19 -1.69 -0.747 2.27 0.787 -1.69 0.299 -0.108 
7.644 0 2.26 0.697 1.18 -1.78 -1.02 2.26 0.697 -1.78 0.287 -0.132 
7.716 0 2.23 0.62 1.11 -1.9 -1.23 2.23 0.62 -1.9 0.306 -0.21 
7.782 0 2.2 0.547 1.15 -2.03 -1.38 2.2 0.547 -2.03 0.227 -0.246 
7.849 0 2.15 0.482 1.17 -2.15 -1.36 2.15 0.482 -2.15 0.192 -0.293 
7.915 0 2.1 0.427 1.15 -2.35 -1.92 2.1 0.427 -2.35 0.212 -0.26 
7.979 0 2.04 0.379 1.17 -2.49 -1.91 2.04 0.379 -2.49 0.251 -0.23 
8.047 0 1.98 0.34 1.1 -2.63 -1.8 1.98 0.34 -2.63 0.334 -0.181 
8.123 0 1.91 0.31 0.971 -2.73 -1.62 1.91 0.31 -2.73 0.424 -0.133 
8.19 0 1.84 0.288 0.992 -2.92 -2.36 1.84 0.288 -2.92 0.426 -0.117 
8.256 0 1.77 0.269 1.06 -2.95 -1.93 1.77 0.269 -2.95 0.41 -0.0956 
