sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.939 0 0 0 0 0 1e-006 0.667 0.415 2.58 0 0 
1.004 0 0 0 0 0 1e-006 0.665 0.416 2.6 0 0 
1.073 0 0.665 0.416 0.33 2.6 1.29 0.665 0.416 2.6 0.114 0.839 
1.139 0 0.665 0.416 0.248 2.6 1.03 0.665 0.416 2.6 0.4 0.829 
1.205 0 0.662 0.416 0.164 2.6 0.663 0.662 0.416 2.6 0.401 0.843 
1.271 0 0.662 0.416 0.0813 2.6 0.344 0.662 0.416 2.6 0.401 0.843 
1.34 0 0.662 0.416 0.0373 2.6 0.174 0.662 0.416 2.6 0.401 0.843 
1.408 0 0.661 0.416 0.0242 2.61 0.181 0.661 0.416 2.61 0.402 0.843 
1.474 0 0.661 0.416 0.0124 2.61 0.0988 0.661 0.416 2.61 0.402 0.843 
1.543 0 0.661 0.416 0.00712 2.61 0.065 0.661 0.416 2.61 0.402 0.843 
1.611 0 0.662 0.416 -0.00303 2.6 -0.0593 0.662 0.416 2.6 0.403 0.843 
1.678 0 0.662 0.416 -0.00404 2.6 -0.0655 0.662 0.416 2.6 -1 0 
1.744 0 0.662 0.416 -0.00213 2.6 -0.0339 0.662 0.416 2.6 -1 0 
1.811 0 0.662 0.416 -0.00106 2.6 -0.0198 0.662 0.416 2.6 -0.0726 0 
1.877 0 0.662 0.416 -0.0046 2.6 -0.0672 0.662 0.416 2.6 -0.016 0 
1.943 0 0.662 0.416 -0.00237 2.6 -0.0401 0.662 0.416 2.6 -0.015 0 
2.014 0 0.662 0.416 -0.000304 2.6 -0.00788 0.662 0.416 2.6 -0.015 0 
2.084 0 0.662 0.416 0.00326 2.6 0.0467 0.662 0.416 2.6 -0.015 0 
2.151 0 0.662 0.416 0.00283 2.6 0.0466 0.662 0.416 2.6 -0.015 0 
2.217 0 0.662 0.416 0.00447 2.6 0.0724 0.662 0.416 2.6 -0.015 0 
2.284 0 0.662 0.416 0.00337 2.6 0.061 0.662 0.416 2.6 -0.015 0 
2.352 0 0.662 0.416 0.000161 2.6 0.0165 0.662 0.416 2.6 -0.015 0 
2.419 0 0.662 0.416 -0.00125 2.6 -0.00477 0.662 0.416 2.6 -0.015 0 
2.486 0 0.662 0.416 -0.000911 2.6 -0.00593 0.662 0.416 2.6 -0.015 0 
2.553 0 0.662 0.416 -0.000467 2.6 -0.00353 0.662 0.416 2.6 -0.015 0 
2.624 0 0.662 0.416 -0.0011 2.6 -0.0143 0.662 0.416 2.6 -0.015 0 
2.69 0 0.662 0.416 0.000616 2.6 0.0104 0.662 0.416 2.6 -0.1 0 
