sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.957 0 0 0 0 0 1e-006 1.82 1.19 1.14 0 0 
1.024 0 0 0 0 0 1e-006 1.82 1.2 1.14 0 0 
1.102 0 1.82 1.2 0.902 1.14 0.565 1.82 1.2 1.14 0.047 0.669 
1.17 0 1.82 1.21 0.687 1.13 0.446 1.82 1.21 1.13 0.277 0.72 
1.237 0 1.83 1.21 0.447 1.18 0.561 1.83 1.21 1.18 0.4 0.695 
1.305 0 1.83 1.22 0.313 1.23 0.715 1.83 1.22 1.23 0.401 0.685 
1.369 0 1.83 1.24 0.288 1.28 0.891 1.83 1.24 1.28 0.401 0.611 
1.436 0 1.84 1.26 0.301 1.37 1.12 1.84 1.26 1.37 0.402 0.507 
1.502 0 1.84 1.29 0.349 1.5 1.44 1.84 1.29 1.5 0.402 0.318 
1.568 0 1.84 1.33 0.441 1.56 1.18 1.84 1.33 1.56 0.402 0.199 
1.635 0 1.83 1.36 0.505 1.65 1.2 1.83 1.36 1.65 0.403 0.00034 
1.701 0 1.83 1.41 0.571 1.64 0.754 1.83 1.41 1.64 0.403 -0.0744 
1.766 0 1.83 1.46 0.671 1.62 0.341 1.83 1.46 1.62 0.403 -0.187 
1.836 0 1.83 1.51 0.7 1.56 0.014 1.83 1.51 1.56 0.403 -0.248 
1.903 0 1.84 1.57 0.728 1.4 -0.966 1.84 1.57 1.4 0.404 -0.377 
1.974 0 1.86 1.63 0.8 1.24 -1.76 1.86 1.63 1.24 0.404 -0.426 
2.041 0 1.89 1.68 0.85 0.961 -2.54 1.89 1.68 0.961 0.261 -0.622 
2.108 0 1.93 1.73 0.856 0.767 -2.53 1.93 1.73 0.767 0.135 -0.861 
2.176 0 1.97 1.76 0.81 0.568 -2.65 1.97 1.76 0.568 0.0698 -0.984 
2.243 0 2.02 1.78 0.808 0.382 -2.66 2.02 1.78 0.382 0.0785 -1 
2.309 0 2.07 1.79 0.749 0.116 -3.34 2.07 1.79 0.116 0.0976 -0.974 
2.377 0 2.12 1.78 0.682 -0.0985 -3.34 2.12 1.78 -0.0985 0.17 -0.921 
2.447 0 2.16 1.76 0.654 -0.346 -3.14 2.16 1.76 -0.346 0.269 -0.813 
2.518 0 2.19 1.73 0.603 -0.625 -3.23 2.19 1.73 -0.625 0.398 -0.648 
2.589 0 2.22 1.7 0.603 -0.879 -3.25 2.22 1.7 -0.879 0.406 -0.484 
2.654 0 2.25 1.65 0.666 -1.07 -3.04 2.25 1.65 -1.07 0.406 -0.323 
2.721 0 2.26 1.6 0.729 -1.21 -2.5 2.26 1.6 -1.21 0.406 -0.215 
