sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.94 0 0 0 0 0 1e-006 0.278 1.41 1.46 0 0 
1.013 0 0 0 0 0 1e-006 0.28 1.43 1.47 0 0 
1.08 0 0.28 1.43 0.143 1.47 0.73 0.28 1.43 1.47 0.114 -0.133 
1.148 0 0.28 1.43 0.107 1.47 0.61 0.28 1.43 1.47 0.4 -0.139 
1.214 0 0.28 1.43 0.107 1.45 0.279 0.28 1.43 1.45 0.401 -0.142 
1.28 0 0.283 1.45 0.146 1.45 0.148 0.283 1.45 1.45 0.401 -0.215 
1.352 0 0.285 1.47 0.199 1.38 -0.36 0.285 1.47 1.38 0.401 -0.182 
1.419 0 0.291 1.49 0.26 1.37 -0.272 0.291 1.49 1.37 0.402 -0.236 
1.488 0 0.3 1.52 0.363 1.34 -0.405 0.3 1.52 1.34 0.402 -0.246 
1.555 0 0.311 1.55 0.422 1.26 -0.615 0.311 1.55 1.26 0.402 -0.216 
1.619 0 0.327 1.59 0.513 1.19 -0.779 0.327 1.59 1.19 0.403 -0.287 
1.687 0 0.347 1.63 0.576 1.07 -1.08 0.347 1.63 1.07 0.403 -0.281 
1.755 0 0.377 1.67 0.613 0.965 -1.25 0.377 1.67 0.965 0.403 -0.261 
1.82 0 0.412 1.71 0.713 0.812 -1.52 0.412 1.71 0.812 0.404 -0.266 
1.887 0 0.454 1.75 0.748 0.69 -1.72 0.454 1.75 0.69 0.404 -0.279 
1.954 0 0.506 1.78 0.827 0.555 -2 0.506 1.78 0.555 0.404 -0.204 
2.019 0 0.564 1.81 0.881 0.447 -1.83 0.564 1.81 0.447 0.405 -0.172 
2.087 0 0.629 1.83 0.919 0.312 -2.12 0.629 1.83 0.312 0.405 -0.129 
2.153 0 0.7 1.85 1 0.214 -1.88 0.7 1.85 0.214 0.402 -0.202 
2.221 0 0.774 1.86 1.03 0.129 -1.68 0.774 1.86 0.129 0.348 -0.205 
2.286 0 0.85 1.86 1.09 -0.00818 -1.8 0.85 1.86 -0.00819 0.269 -0.265 
2.355 0 0.926 1.85 1.06 -0.131 -1.45 0.926 1.85 -0.131 0.213 -0.4 
2.419 0 0.999 1.84 1.11 -0.314 -1.94 0.999 1.84 -0.314 0.158 -0.426 
2.487 0 1.06 1.81 1.05 -0.477 -2.2 1.06 1.81 -0.477 0.163 -0.472 
2.554 0 1.12 1.77 1 -0.66 -2.57 1.12 1.77 -0.66 0.195 -0.556 
2.622 0 1.17 1.72 0.987 -0.874 -3.01 1.17 1.72 -0.875 0.205 -0.542 
