sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
1.016 0 0 0 0 0 1e-006 2.23 1.23 -1.44 0.422 0.643 
1.085 0 0 0 0 0 1e-006 2.24 1.21 -1.41 0 0 
1.149 0 2.24 1.21 1.09 -1.41 -0.698 2.24 1.21 -1.41 0.0887 0.152 
1.218 0 2.23 1.21 0.837 -1.44 -0.685 2.23 1.21 -1.44 0.399 0.133 
1.285 0 2.24 1.2 0.558 -1.43 -0.417 2.24 1.2 -1.43 0.401 0.0784 
1.351 0 2.24 1.19 0.396 -1.4 -0.166 2.24 1.19 -1.4 0.401 0.0641 
1.421 0 2.24 1.17 0.314 -1.4 0.203 2.24 1.17 -1.4 0.401 0.074 
1.49 0 2.25 1.14 0.344 -1.43 0.0628 2.25 1.14 -1.43 0.402 0.0401 
1.558 0 2.25 1.11 0.387 -1.36 0.528 2.25 1.11 -1.36 0.402 -0.0299 
1.623 0 2.26 1.07 0.489 -1.38 0.338 2.26 1.07 -1.38 0.402 -0.0915 
1.692 0 2.27 1.03 0.543 -1.44 -0.226 2.27 1.03 -1.44 0.403 -0.102 
1.758 0 2.27 0.982 0.632 -1.48 -0.426 2.27 0.982 -1.48 0.403 -0.0972 
1.827 0 2.27 0.932 0.655 -1.48 -0.153 2.27 0.932 -1.48 0.403 -0.126 
1.895 0 2.28 0.876 0.718 -1.59 -0.769 2.28 0.876 -1.59 0.404 -0.129 
1.966 0 2.27 0.81 0.78 -1.65 -0.774 2.27 0.81 -1.65 0.404 -0.142 
2.033 0 2.26 0.743 0.865 -1.73 -0.784 2.26 0.743 -1.73 0.404 -0.144 
2.099 0 2.25 0.676 0.942 -1.82 -1.1 2.25 0.676 -1.82 0.405 -0.184 
2.166 0 2.22 0.608 0.991 -1.92 -1.29 2.22 0.608 -1.92 0.346 -0.247 
2.233 0 2.19 0.543 1.01 -2.07 -1.59 2.19 0.543 -2.07 0.313 -0.243 
2.3 0 2.15 0.484 1.02 -2.19 -1.72 2.15 0.484 -2.19 0.283 -0.27 
2.367 0 2.11 0.432 0.979 -2.34 -1.8 2.11 0.432 -2.34 0.334 -0.26 
2.436 0 2.05 0.388 0.971 -2.49 -1.99 2.05 0.388 -2.49 0.373 -0.25 
2.502 0 2 0.35 0.978 -2.66 -2.23 2 0.35 -2.66 0.403 -0.168 
2.571 0 1.93 0.319 1.04 -2.72 -1.89 1.93 0.319 -2.72 0.4 -0.146 
2.64 0 1.85 0.294 1.05 -2.9 -2.11 1.85 0.294 -2.9 0.401 -0.0569 
2.707 0 1.78 0.276 1.09 -2.88 -1.51 1.78 0.276 -2.88 0.363 -0.119 
2.773 0 1.7 0.257 1.16 -2.9 -1.16 1.7 0.257 -2.9 0.322 -0.15 
2.842 0 1.62 0.247 1.12 -3.01 -1.04 1.62 0.247 -3.01 0.325 -0.0556 
2.908 0 1.54 0.24 1.16 -3.05 -0.752 1.54 0.24 -3.05 0.347 -0.0431 
2.973 0 1.45 0.235 1.19 -3.05 -0.31 1.45 0.235 -3.05 0.346 -0.0189 
3.04 0 1.37 0.232 1.2 -3.1 -0.243 1.37 0.232 -3.1 0.316 0.0541 
3.108 0 1.29 0.228 1.18 -3.05 0.132 1.29 0.228 -3.05 0.313 0.000416 
3.174 0 1.21 0.224 1.18 -3.08 0.0678 1.21 0.224 -3.08 0.314 0.0307 
3.241 0 1.13 0.22 1.17 -3.1 -0.0876 1.13 0.22 -3.1 0.332 -0.0287 
3.307 0 1.05 0.217 1.16 -3.08 0.0672 1.05 0.217 -3.08 0.365 -0.00441 
3.375 0 0.968 0.217 1.14 -3.1 -0.16 0.968 0.217 -3.1 0.381 -0.0333 
3.442 0 0.885 0.215 1.16 3.1 63.6 0.885 0.215 3.1 0.36 -0.037 
3.518 0 0.792 0.221 1.1 3.14 34.3 0.792 0.221 3.14 0.375 -0.0669 
3.586 0 0.7 0.229 1.19 3.03 20.1 0.7 0.229 3.03 0.25 -0.249 
3.653 0 0.618 0.245 1.2 2.85 11.1 0.618 0.245 2.85 0.205 -0.247 
3.727 0 0.54 0.275 1.08 2.74 4.76 0.54 0.275 2.74 0.154 -0.318 
3.798 0 0.463 0.319 1.08 2.6 2.19 0.463 0.319 2.6 0.204 -0.31 
3.868 0 0.397 0.375 1.13 2.38 0.246 0.397 0.375 2.38 0.205 -0.286 
3.935 0 0.349 0.433 1.12 2.23 -0.796 0.349 0.433 2.23 0.232 -0.29 
4.006 0 0.307 0.505 1.11 2.11 -1.15 0.307 0.505 2.11 0.303 -0.277 
4.075 0 0.28 0.571 1.06 1.94 -1.64 0.28 0.571 1.94 0.338 -0.224 
4.142 0 0.261 0.64 1.05 1.83 -1.5 0.261 0.64 1.83 0.357 -0.165 
4.208 0 0.25 0.708 1.04 1.71 -1.42 0.25 0.708 1.71 0.373 -0.16 
4.275 0 0.244 0.781 1.02 1.65 -1.27 0.244 0.781 1.65 0.408 -0.11 
4.343 0 0.243 0.856 1.06 1.59 -1.13 0.243 0.856 1.59 0.413 -0.0515 
