sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.013 0 0 0 0 0 1e-006 1.62 0.668 0.0286 0.388 0.173 
0.656 0 0 0 0 0 1e-006 1.63 0.67 -0.0141 0 0 
0.732 0 1.63 0.669 0.777 -0.0341 -0.00909 1.63 0.669 -0.0341 -0.0493 1 
0.81 0 1.63 0.668 0.531 0.0286 0.101 1.63 0.668 0.0286 -0.0464 1 
0.897 0 1.62 0.666 0.193 0.0495 0.11 1.62 0.666 0.0495 0.209 1 
0.977 0 1.63 0.667 0.137 0.0913 0.319 1.63 0.667 0.0913 0.346 1 
1.057 0 1.64 0.669 0.132 0.14 0.356 1.64 0.669 0.14 0.37 1 
1.14 0 1.65 0.676 0.144 0.222 0.769 1.65 0.676 0.222 0.364 1 
1.227 0 1.67 0.684 0.175 0.344 1.07 1.67 0.684 0.344 0.383 1 
1.307 0 1.69 0.697 0.228 0.493 1.47 1.69 0.697 0.493 0.4 1 
1.385 0 1.71 0.715 0.278 0.663 1.79 1.71 0.715 0.663 0.402 1 
1.471 0 1.73 0.746 0.344 0.903 2.2 1.73 0.746 0.903 0.403 0.87 
1.55 0 1.74 0.78 0.399 1.12 2.52 1.74 0.78 1.12 0.403 0.659 
1.636 0 1.76 0.837 0.558 1.33 2.59 1.76 0.837 1.33 0.404 0.374 
1.721 0 1.76 0.893 0.609 1.53 2.2 1.76 0.893 1.53 0.404 0.256 
1.814 0 1.76 0.97 0.725 1.66 1.66 1.76 0.97 1.66 0.404 0.0547 
1.891 0 1.75 1.04 0.784 1.7 1.28 1.75 1.04 1.7 0.405 -0.0617 
1.974 0 1.75 1.12 0.91 1.66 0.609 1.75 1.12 1.66 0.405 -0.019 
2.054 0 1.74 1.21 0.978 1.59 -0.0748 1.74 1.21 1.59 0.406 -0.0904 
2.135 0 1.75 1.3 1.06 1.53 -0.306 1.75 1.3 1.53 0.379 -0.135 
2.223 0 1.76 1.41 1.08 1.47 -0.368 1.76 1.41 1.47 0.305 -0.21 
2.311 0 1.78 1.52 1.17 1.38 -0.745 1.78 1.52 1.38 0.246 -0.252 
2.391 0 1.81 1.61 1.19 1.19 -1.29 1.81 1.61 1.19 0.197 -0.299 
2.471 0 1.86 1.68 1.13 0.981 -1.79 1.86 1.68 0.981 0.133 -0.472 
2.554 0 1.92 1.75 1.08 0.796 -2.04 1.92 1.75 0.796 -0.0427 -0.818 
2.633 0 1.98 1.79 1.02 0.554 -2.33 1.98 1.79 0.554 -0.106 -1 
2.718 0 2.05 1.81 0.855 0.338 -2.25 2.05 1.81 0.338 -0.0737 -1 
2.802 0 2.11 1.82 0.754 0.0101 -2.88 2.11 1.82 0.0101 0.00755 -1 
2.881 0 2.16 1.8 0.716 -0.302 -3.39 2.16 1.8 -0.302 0.165 -0.914 
2.96 0 2.21 1.77 0.716 -0.792 -4.49 2.21 1.77 -0.792 0.301 -0.627 
3.04 0 2.24 1.73 0.687 -1.09 -4.07 2.24 1.73 -1.09 0.407 -0.358 
3.125 0 2.26 1.67 0.704 -1.32 -3.26 2.26 1.67 -1.32 0.408 -0.185 
3.213 0 2.27 1.6 0.72 -1.4 -2.18 2.27 1.6 -1.4 0.408 -0.0816 
3.3 0 2.28 1.52 0.738 -1.44 -1.17 2.28 1.52 -1.44 0.4 -0.035 
3.379 0 2.29 1.43 0.947 -1.46 -0.697 2.29 1.43 -1.46 0.401 -0.00447 
3.47 0 2.29 1.34 0.977 -1.49 -0.329 2.29 1.34 -1.49 0.401 -0.0389 
3.558 0 2.3 1.23 1.12 -1.53 -0.42 2.3 1.23 -1.53 0.382 -0.0212 
3.644 0 2.3 1.13 1.16 -1.57 -0.226 2.3 1.13 -1.57 0.31 -0.048 
3.722 0 2.29 1.03 1.2 -1.66 -0.575 2.29 1.03 -1.66 0.29 -0.00247 
3.809 0 2.28 0.917 1.22 -1.66 -0.0846 2.28 0.917 -1.66 0.282 0.00305 
3.884 0 2.27 0.819 1.24 -1.68 -0.0965 2.27 0.819 -1.68 0.289 -0.0851 
3.967 0 2.26 0.724 1.13 -1.78 -0.962 2.26 0.724 -1.78 0.359 -0.21 
4.056 0 2.23 0.623 1.11 -1.89 -1.23 2.23 0.623 -1.89 0.267 -0.238 
4.134 0 2.2 0.539 1.13 -2.07 -1.73 2.2 0.539 -2.07 0.19 -0.324 
4.219 0 2.14 0.466 1.08 -2.21 -1.72 2.14 0.466 -2.21 0.208 -0.337 
4.301 0 2.08 0.399 1.09 -2.43 -2.17 2.08 0.399 -2.43 0.243 -0.278 
4.382 0 2.01 0.35 1.06 -2.59 -2.13 2.01 0.35 -2.59 0.309 -0.237 
4.463 0 1.93 0.315 1.01 -2.7 -1.67 1.93 0.315 -2.7 0.348 -0.197 
4.544 0 1.86 0.29 0.978 -2.81 -1.36 1.86 0.29 -2.81 0.394 -0.101 
4.629 0 1.76 0.267 1.05 -2.89 -0.974 1.76 0.267 -2.89 0.394 -0.102 
4.714 0 1.67 0.251 1.01 -2.96 -0.625 1.67 0.251 -2.96 0.4 -0.111 
4.799 0 1.57 0.241 1.06 -3.11 -1.19 1.57 0.241 -3.11 0.382 -0.0106 
4.876 0 1.47 0.236 1.17 -3.09 -0.545 1.47 0.236 -3.09 0.339 -0.0208 
4.957 0 1.36 0.232 1.24 -3.07 -0.0714 1.36 0.232 -3.07 0.298 0.019 
5.035 0 1.26 0.224 1.3 -3.11 -0.347 1.26 0.224 -3.11 0.265 0.0227 
5.121 0 1.14 0.223 1.28 -3.09 -0.181 1.14 0.223 -3.09 0.293 0.00657 
5.206 0 1.04 0.22 1.21 -3.09 -0.118 1.04 0.22 -3.09 0.302 -0.0029 
5.284 0 0.929 0.217 1.28 -3.09 -0.137 0.929 0.217 -3.09 0.294 -0.0656 
5.37 0 0.83 0.218 1.16 -3.13 -10.5 0.83 0.218 -3.13 0.274 -0.0952 
5.449 0 0.732 0.224 1.2 3.06 9.25 0.732 0.225 3.06 0.197 -0.235 
5.528 0 0.635 0.239 1.2 2.91 3.96 0.635 0.239 2.91 0.192 -0.282 
5.612 0 0.545 0.273 1.15 2.73 0.866 0.545 0.273 2.73 0.184 -0.288 
5.695 0 0.459 0.322 1.11 2.59 -0.113 0.459 0.322 2.59 0.202 -0.324 
5.78 0 0.385 0.386 1.1 2.37 -1.15 0.385 0.386 2.37 0.265 -0.306 
5.861 0 0.334 0.452 1.02 2.17 -1.91 0.334 0.452 2.17 0.259 -0.3 
5.944 0 0.294 0.532 1.05 2.02 -1.84 0.294 0.532 2.02 0.301 -0.241 
6.022 0 0.269 0.611 1.06 1.85 -2.05 0.269 0.611 1.85 0.317 -0.204 
6.1 0 0.25 0.694 1.08 1.71 -1.88 0.25 0.694 1.71 0.366 -0.169 
6.179 0 0.244 0.771 1.02 1.64 -1.56 0.244 0.771 1.64 0.396 -0.131 
6.254 0 0.243 0.856 1.08 1.58 -1.22 0.243 0.856 1.58 0.404 -0.0499 
6.336 0 0.246 0.952 1.11 1.51 -0.903 0.246 0.952 1.51 0.383 0.0151 
6.421 0 0.251 1.06 1.2 1.53 -0.525 0.251 1.06 1.53 0.294 0.0746 
6.498 0 0.255 1.16 1.2 1.51 -0.363 0.255 1.16 1.51 0.265 0.0806 
6.581 0 0.258 1.26 1.17 1.53 -0.2 0.258 1.26 1.53 0.305 0.00964 
6.662 0 0.258 1.37 1.25 1.51 -0.345 0.258 1.37 1.51 0.237 -0.113 
6.75 0 0.266 1.47 1.07 1.47 -0.553 0.266 1.47 1.47 0.284 -0.326 
