sysTime carID xPos yPos speed yaw yawVel xPosRaw yPosRaw yawRaw gas turn
0.956 0 0 0 0 0 1e-006 2.09 0.658 -3.12 0 0 
1.025 0 0 0 0 0 1e-006 2.09 0.658 -3.12 0 0 
1.093 0 2.09 0.658 1.03 -3.12 -1.55 2.09 0.658 -3.12 -0.122 1 
1.162 0 2.1 0.658 0.76 -3.12 11 2.1 0.658 -3.12 -0.273 1 
1.233 0 2.11 0.66 0.341 3.12 39.8 2.11 0.66 3.12 0.0706 1 
1.301 0 2.11 0.662 0.137 3.08 24.8 2.11 0.662 3.08 0.275 1 
1.368 0 2.11 0.662 0.0752 -3.13 -38.3 2.11 0.662 -3.14 0.332 1 
1.435 0 2.1 0.659 0.0883 -3.14 -70.5 2.1 0.659 -3.14 0.358 1 
1.501 0 2.1 0.658 0.0763 -3.03 -41.9 2.1 0.658 -3.03 0.376 1 
1.566 0 2.1 0.658 0.0406 -3.12 -26 2.1 0.658 -3.12 0.399 1 
1.633 0 2.1 0.659 0.0205 -3.05 -14.6 2.1 0.659 -3.05 0.401 1 
1.703 0 2.1 0.659 0.00913 -3.05 -8.14 2.1 0.659 -3.05 0.402 1 
1.774 0 2.1 0.658 0.00408 -3.03 -4.48 2.1 0.658 -3.03 0.402 1 
1.843 0 2.1 0.658 0.00179 -3.03 -2.66 2.1 0.658 -3.03 0.402 1 
1.913 0 2.1 0.658 0.000816 -3.03 -1.48 2.1 0.658 -3.03 -1 0 
1.979 0 2.1 0.659 0.000154 -3.05 -0.978 2.1 0.659 -3.05 -1 0 
2.048 0 2.1 0.659 -0.000401 -3.05 -0.621 2.1 0.659 -3.05 -0.0406 0 
2.119 0 2.1 0.659 -0.000504 -3.05 -0.376 2.1 0.659 -3.05 -0.0154 0 
2.189 0 2.1 0.658 6.87e-005 -3.03 -0.101 2.1 0.658 -3.03 -0.015 0 
2.259 0 2.1 0.659 -0.000202 -3.05 -0.0356 2.1 0.659 -3.05 -0.015 0 
2.327 0 2.1 0.658 -0.000342 -3.03 -0.0025 2.1 0.658 -3.03 -0.015 0 
2.396 0 2.1 0.659 -0.00108 -3.05 -0.204 2.1 0.659 -3.05 -0.015 0 
2.462 0 2.1 0.659 -0.000516 -3.05 -0.0655 2.1 0.659 -3.05 -0.015 0 
2.528 0 2.1 0.659 -0.000668 -3.05 -0.0826 2.1 0.659 -3.05 -0.015 0 
2.597 0 2.1 0.659 -0.000416 -3.05 -0.0413 2.1 0.659 -3.05 -0.015 0 
2.669 0 2.1 0.659 -0.000735 -3.05 -0.107 2.1 0.659 -3.05 -0.015 0 
2.741 0 2.1 0.659 -0.000713 -3.05 -0.117 2.1 0.659 -3.05 -0.015 0 
2.809 0 2.1 0.659 -0.000929 -3.05 -0.162 2.1 0.659 -3.05 -0.015 0 
2.876 0 2.1 0.659 -0.00048 -3.05 -0.0975 2.1 0.659 -3.05 -0.015 0 
2.942 0 2.1 0.659 -0.000505 -3.05 -0.112 2.1 0.659 -3.05 -0.1 0 
3.01 0 2.1 0.657 -0.00833 -3.1 -0.445 2.1 0.657 -3.1 -0.1 0 
3.079 0 2.11 0.661 -0.053 -3.1 -0.163 2.11 0.661 -3.1 -0.1 0 
3.151 0 2.11 0.661 -0.0658 -3.1 2.41 2.11 0.661 -3.1 -0.1 0 
3.22 0 2.12 0.66 -0.111 -3.07 1.55 2.12 0.66 -3.07 -0.1 0 
3.289 0 2.14 0.662 -0.154 -3.03 1.16 2.14 0.662 -3.03 -0.1 0 
3.354 0 2.15 0.663 -0.185 -3.06 0.691 2.15 0.663 -3.06 -0.1 0 
3.422 0 2.17 0.667 -0.215 -3.05 0.278 2.17 0.667 -3.05 -0.1 0 
3.49 0 2.19 0.667 -0.233 -3.05 0.0292 2.19 0.667 -3.05 -0.1 0 
3.559 0 2.21 0.667 -0.24 -3.05 0.134 2.21 0.667 -3.05 -0.1 0 
3.631 0 2.23 0.669 -0.268 -3.07 0.00523 2.23 0.669 -3.07 -0.1 0 
3.699 0 2.25 0.671 -0.275 -3.03 0.154 2.25 0.671 -3.03 -0.1 0 
3.766 0 2.27 0.673 -0.317 -3.07 -0.0292 2.27 0.673 -3.07 -0.1 0 
3.833 0 2.3 0.676 -0.321 -3.05 -0.00459 2.3 0.676 -3.05 -0.1 0 
3.901 0 2.32 0.677 -0.358 -3.08 -0.107 2.32 0.677 -3.08 -0.1 0 
3.969 0 2.35 0.68 -0.374 -3.05 0.0828 2.35 0.68 -3.05 -0.1 0 
4.039 0 2.38 0.683 -0.381 -3.05 0.00205 2.38 0.683 -3.05 -0.1 0 
4.108 0 2.41 0.685 -0.396 -3.08 -0.122 2.41 0.685 -3.08 -0.1 0 
4.184 0 2.41 0.687 -0.16 -3.05 0.141 2.41 0.687 -3.05 -0.1 0 
4.252 0 2.4 0.687 -0.013 -3.05 0.0901 2.4 0.687 -3.05 -0.1 0 
4.319 0 2.39 0.687 0.0563 -3.05 0.0677 2.39 0.687 -3.05 0.4 0.504 
4.387 0 2.38 0.682 0.142 -3.01 0.47 2.38 0.682 -3.01 0.401 0.486 
4.456 0 2.35 0.676 0.255 -2.95 0.735 2.35 0.676 -2.95 0.401 0.505 
4.522 0 2.33 0.665 0.335 -2.82 1.06 2.33 0.665 -2.82 0.401 0.479 
4.589 0 2.29 0.652 0.409 -2.71 1.14 2.29 0.652 -2.71 0.402 0.462 
4.659 0 2.26 0.628 0.485 -2.56 1.79 2.26 0.628 -2.56 0.402 0.346 
4.725 0 2.23 0.6 0.558 -2.48 1.49 NaN NaN NaN 0.402 0.235 
4.792 0 2.19 0.562 0.668 -2.38 1.3 2.19 0.562 -2.38 0.403 0.133 
4.858 0 2.15 0.521 0.764 -2.31 1.21 2.15 0.521 -2.31 0.403 -0.0235 
4.926 0 2.11 0.476 0.843 -2.32 0.663 2.11 0.476 -2.32 0.403 -0.071 
4.993 0 2.05 0.426 0.92 -2.37 0.372 2.05 0.426 -2.37 0.404 -0.197 
5.065 0 2 0.38 0.913 -2.46 -0.337 2 0.38 -2.46 0.404 -0.243 
5.134 0 1.93 0.337 1.03 -2.61 -1.04 1.93 0.337 -2.61 0.386 -0.172 
5.205 0 1.87 0.306 1.01 -2.73 -1.31 1.87 0.306 -2.73 0.384 -0.128 
5.275 0 1.79 0.276 1.1 -2.86 -1.78 1.79 0.276 -2.86 0.332 -0.132 
5.343 0 1.71 0.26 1.1 -2.96 -1.76 1.71 0.26 -2.96 0.362 -0.0606 
5.41 0 1.63 0.248 1.15 -2.95 -0.839 1.63 0.248 -2.95 0.332 -0.0936 
5.483 0 1.54 0.24 1.17 -3.05 -0.835 1.54 0.24 -3.05 0.334 0.0132 
5.552 0 1.47 0.235 1.08 -3.03 -0.236 1.47 0.235 -3.03 0.328 -0.0457 
5.619 0 1.39 0.227 1.09 -3.14 -0.771 1.39 0.227 -3.14 0.381 0.0416 
5.69 0 1.3 0.223 1.14 -3.08 -0.124 1.3 0.223 -3.08 0.346 -0.0348 
5.755 0 1.21 0.222 1.19 -3.1 -0.134 1.21 0.222 -3.1 0.328 0.00582 
5.821 0 1.13 0.218 1.21 -3.05 0.13 1.13 0.218 -3.05 0.306 -0.0413 
5.888 0 1.05 0.215 1.21 3.1 31.7 1.05 0.215 3.1 0.29 0.0411 
5.956 0 0.967 0.217 1.18 -3.1 -9.8 0.967 0.217 -3.1 0.306 -0.0328 
6.024 0 0.886 0.216 1.15 3.14 38.1 0.886 0.216 3.14 0.352 -0.0132 
6.093 0 0.797 0.221 1.19 3.12 43.6 0.797 0.221 3.12 0.371 -0.056 
6.163 0 0.719 0.227 1.14 3.01 24.6 0.719 0.227 3.01 0.269 -0.222 
6.234 0 0.642 0.24 1.1 2.92 13.4 0.642 0.24 2.92 0.238 -0.229 
6.299 0 0.569 0.262 1.13 2.77 7.41 0.569 0.262 2.77 0.212 -0.294 
6.367 0 0.495 0.301 1.15 2.64 3.4 0.495 0.301 2.64 0.175 -0.339 
6.434 0 0.436 0.343 1.11 2.45 0.934 0.436 0.343 2.45 0.217 -0.281 
6.501 0 0.385 0.396 1.09 2.31 -0.257 0.385 0.396 2.31 0.257 -0.277 
6.571 0 0.341 0.455 1.03 2.18 -1.09 0.341 0.455 2.18 0.354 -0.235 
6.64 0 0.309 0.513 0.99 2.05 -1.49 0.309 0.513 2.05 0.359 -0.234 
6.707 0 0.281 0.585 1.07 1.89 -1.68 0.281 0.585 1.89 0.36 -0.208 
6.773 0 0.262 0.655 1.08 1.79 -1.66 0.262 0.655 1.79 0.344 -0.197 
6.841 0 0.253 0.723 1.03 1.69 -1.43 0.253 0.723 1.69 0.381 -0.0949 
6.907 0 0.248 0.796 1.05 1.61 -1.42 0.248 0.796 1.61 0.402 -0.0789 
6.974 0 0.247 0.874 1.08 1.56 -1.17 0.247 0.874 1.56 0.412 -0.0477 
7.046 0 0.247 0.957 1.11 1.54 -1.16 0.247 0.957 1.54 0.412 -0.0292 
7.115 0 0.25 1.05 1.23 1.56 -0.415 0.25 1.05 1.56 0.298 0.0328 
7.184 0 0.253 1.14 1.24 1.56 -0.013 0.253 1.14 1.56 0.262 0.0563 
